# Atmospheric transmission curve combined from Anglo-Australian Observatory and Mauna Kea  (09/April/10, CEM).
#  Lambda (AA)  Transmission
3600.00     0.693854
3600.10     0.693877
3600.20     0.693900
3600.30     0.693923
3600.40     0.693946
3600.50     0.693969
3600.60     0.693992
3600.70     0.694016
3600.80     0.694039
3600.90     0.694062
3601.00     0.694085
3601.10     0.694108
3601.20     0.694131
3601.30     0.694154
3601.40     0.694177
3601.50     0.694200
3601.60     0.694224
3601.70     0.694247
3601.80     0.694270
3601.90     0.694293
3602.00     0.694316
3602.10     0.694339
3602.20     0.694362
3602.30     0.694385
3602.40     0.694409
3602.50     0.694432
3602.60     0.694455
3602.70     0.694478
3602.80     0.694501
3602.90     0.694524
3603.00     0.694547
3603.10     0.694570
3603.20     0.694594
3603.30     0.694617
3603.40     0.694640
3603.50     0.694663
3603.60     0.694686
3603.70     0.694709
3603.80     0.694732
3603.90     0.694755
3604.00     0.694779
3604.10     0.694802
3604.20     0.694825
3604.30     0.694848
3604.40     0.694871
3604.50     0.694894
3604.60     0.694917
3604.70     0.694940
3604.80     0.694964
3604.90     0.694987
3605.00     0.695010
3605.10     0.695033
3605.20     0.695056
3605.30     0.695079
3605.40     0.695102
3605.50     0.695125
3605.60     0.695149
3605.70     0.695172
3605.80     0.695195
3605.90     0.695218
3606.00     0.695241
3606.10     0.695264
3606.20     0.695287
3606.30     0.695310
3606.40     0.695333
3606.50     0.695357
3606.60     0.695380
3606.70     0.695403
3606.80     0.695426
3606.90     0.695449
3607.00     0.695472
3607.10     0.695495
3607.20     0.695518
3607.30     0.695542
3607.40     0.695565
3607.50     0.695588
3607.60     0.695611
3607.70     0.695634
3607.80     0.695657
3607.90     0.695680
3608.00     0.695703
3608.10     0.695727
3608.20     0.695750
3608.30     0.695773
3608.40     0.695796
3608.50     0.695819
3608.60     0.695842
3608.70     0.695865
3608.80     0.695888
3608.90     0.695912
3609.00     0.695935
3609.10     0.695958
3609.20     0.695981
3609.30     0.696004
3609.40     0.696027
3609.50     0.696050
3609.60     0.696073
3609.70     0.696096
3609.80     0.696120
3609.90     0.696143
3610.00     0.696166
3610.10     0.696189
3610.20     0.696212
3610.30     0.696235
3610.40     0.696258
3610.50     0.696281
3610.60     0.696305
3610.70     0.696328
3610.80     0.696351
3610.90     0.696374
