# Total GTC + MEGARA transmission, MOS/LCB, VPH799 LR-I updated 02/2017
# Lambda (AA)    Transmission 
      3600.00       0.00000
      3600.10       0.00000
      3600.20       0.00000
      3600.30       0.00000
      3600.40       0.00000
      3600.50       0.00000
      3600.60       0.00000
      3600.70       0.00000
      3600.80       0.00000
      3600.90       0.00000
      3601.00       0.00000
      3601.10       0.00000
      3601.20       0.00000
      3601.30       0.00000
      3601.40       0.00000
      3601.50       0.00000
      3601.60       0.00000
      3601.70       0.00000
      3601.80       0.00000
      3601.90       0.00000
      3602.00       0.00000
      3602.10       0.00000
      3602.20       0.00000
      3602.30       0.00000
      3602.40       0.00000
      3602.50       0.00000
      3602.60       0.00000
      3602.70       0.00000
      3602.80       0.00000
      3602.90       0.00000
      3603.00       0.00000
      3603.10       0.00000
      3603.20       0.00000
      3603.30       0.00000
      3603.40       0.00000
      3603.50       0.00000
      3603.60       0.00000
      3603.70       0.00000
      3603.80       0.00000
      3603.90       0.00000
      3604.00       0.00000
      3604.10       0.00000
      3604.20       0.00000
      3604.30       0.00000
      3604.40       0.00000
      3604.50       0.00000
      3604.60       0.00000
      3604.70       0.00000
      3604.80       0.00000
      3604.90       0.00000
      3605.00       0.00000
      3605.10       0.00000
      3605.20       0.00000
      3605.30       0.00000
      3605.40       0.00000
      3605.50       0.00000
      3605.60       0.00000
      3605.70       0.00000
      3605.80       0.00000
      3605.90       0.00000
      3606.00       0.00000
      3606.10       0.00000
      3606.20       0.00000
      3606.30       0.00000
      3606.40       0.00000
      3606.50       0.00000
      3606.60       0.00000
      3606.70       0.00000
      3606.80       0.00000
      3606.90       0.00000
      3607.00       0.00000
      3607.10       0.00000
      3607.20       0.00000
      3607.30       0.00000
      3607.40       0.00000
      3607.50       0.00000
      3607.60       0.00000
      3607.70       0.00000
      3607.80       0.00000
      3607.90       0.00000
      3608.00       0.00000
      3608.10       0.00000
      3608.20       0.00000
      3608.30       0.00000
      3608.40       0.00000
      3608.50       0.00000
      3608.60       0.00000
      3608.70       0.00000
      3608.80       0.00000
      3608.90       0.00000
      3609.00       0.00000
      3609.10       0.00000
      3609.20       0.00000
      3609.30       0.00000
      3609.40       0.00000
      3609.50       0.00000
      3609.60       0.00000
      3609.70       0.00000
      3609.80       0.00000
      3609.90       0.00000
      3610.00       0.00000
      3610.10       0.00000
      3610.20       0.00000
      3610.30       0.00000
      3610.40       0.00000
      3610.50       0.00000
      3610.60       0.00000
      3610.70       0.00000
      3610.80       0.00000
      3610.90       0.00000
      3611.00       0.00000
      3611.10       0.00000
      3611.20       0.00000
      3611.30       0.00000
      3611.40       0.00000
      3611.50       0.00000
      3611.60       0.00000
      3611.70       0.00000
      3611.80       0.00000
      3611.90       0.00000
      3612.00       0.00000
      3612.10       0.00000
      3612.20       0.00000
      3612.30       0.00000
      3612.40       0.00000
      3612.50       0.00000
      3612.60       0.00000
      3612.70       0.00000
      3612.80       0.00000
      3612.90       0.00000
      3613.00       0.00000
      3613.10       0.00000
      3613.20       0.00000
      3613.30       0.00000
      3613.40       0.00000
      3613.50       0.00000
      3613.60       0.00000
      3613.70       0.00000
      3613.80       0.00000
      3613.90       0.00000
      3614.00       0.00000
      3614.10       0.00000
      3614.20       0.00000
      3614.30       0.00000
      3614.40       0.00000
      3614.50       0.00000
      3614.60       0.00000
      3614.70       0.00000
      3614.80       0.00000
      3614.90       0.00000
      3615.00       0.00000
      3615.10       0.00000
      3615.20       0.00000
      3615.30       0.00000
      3615.40       0.00000
      3615.50       0.00000
      3615.60       0.00000
      3615.70       0.00000
      3615.80       0.00000
      3615.90       0.00000
      3616.00       0.00000
      3616.10       0.00000
      3616.20       0.00000
      3616.30       0.00000
      3616.40       0.00000
      3616.50       0.00000
      3616.60       0.00000
      3616.70       0.00000
      3616.80       0.00000
      3616.90       0.00000
      3617.00       0.00000
      3617.10       0.00000
      3617.20       0.00000
      3617.30       0.00000
      3617.40       0.00000
      3617.50       0.00000
      3617.60       0.00000
      3617.70       0.00000
      3617.80       0.00000
      3617.90       0.00000
      3618.00       0.00000
      3618.10       0.00000
      3618.20       0.00000
      3618.30       0.00000
      3618.40       0.00000
      3618.50       0.00000
      3618.60       0.00000
      3618.70       0.00000
      3618.80       0.00000
      3618.90       0.00000
      3619.00       0.00000
      3619.10       0.00000
      3619.20       0.00000
      3619.30       0.00000
      3619.40       0.00000
      3619.50       0.00000
      3619.60       0.00000
      3619.70       0.00000
      3619.80       0.00000
      3619.90       0.00000
      3620.00       0.00000
      3620.10       0.00000
      3620.20       0.00000
      3620.30       0.00000
      3620.40       0.00000
      3620.50       0.00000
      3620.60       0.00000
      3620.70       0.00000
      3620.80       0.00000
      3620.90       0.00000
      3621.00       0.00000
      3621.10       0.00000
      3621.20       0.00000
      3621.30       0.00000
      3621.40       0.00000
      3621.50       0.00000
      3621.60       0.00000
      3621.70       0.00000
      3621.80       0.00000
      3621.90       0.00000
      3622.00       0.00000
      3622.10       0.00000
      3622.20       0.00000
      3622.30       0.00000
      3622.40       0.00000
      3622.50       0.00000
      3622.60       0.00000
      3622.70       0.00000
      3622.80       0.00000
      3622.90       0.00000
      3623.00       0.00000
      3623.10       0.00000
      3623.20       0.00000
      3623.30       0.00000
      3623.40       0.00000
      3623.50       0.00000
      3623.60       0.00000
      3623.70       0.00000
      3623.80       0.00000
      3623.90       0.00000
      3624.00       0.00000
      3624.10       0.00000
      3624.20       0.00000
      3624.30       0.00000
      3624.40       0.00000
      3624.50       0.00000
      3624.60       0.00000
      3624.70       0.00000
      3624.80       0.00000
      3624.90       0.00000
      3625.00       0.00000
      3625.10       0.00000
      3625.20       0.00000
      3625.30       0.00000
      3625.40       0.00000
      3625.50       0.00000
      3625.60       0.00000
      3625.70       0.00000
      3625.80       0.00000
      3625.90       0.00000
      3626.00       0.00000
      3626.10       0.00000
      3626.20       0.00000
      3626.30       0.00000
      3626.40       0.00000
      3626.50       0.00000
      3626.60       0.00000
      3626.70       0.00000
      3626.80       0.00000
      3626.90       0.00000
      3627.00       0.00000
      3627.10       0.00000
      3627.20       0.00000
      3627.30       0.00000
      3627.40       0.00000
      3627.50       0.00000
      3627.60       0.00000
      3627.70       0.00000
      3627.80       0.00000
      3627.90       0.00000
      3628.00       0.00000
      3628.10       0.00000
      3628.20       0.00000
      3628.30       0.00000
      3628.40       0.00000
      3628.50       0.00000
      3628.60       0.00000
      3628.70       0.00000
      3628.80       0.00000
      3628.90       0.00000
      3629.00       0.00000
      3629.10       0.00000
      3629.20       0.00000
      3629.30       0.00000
      3629.40       0.00000
      3629.50       0.00000
      3629.60       0.00000
      3629.70       0.00000
      3629.80       0.00000
      3629.90       0.00000
      3630.00       0.00000
      3630.10       0.00000
      3630.20       0.00000
      3630.30       0.00000
      3630.40       0.00000
      3630.50       0.00000
      3630.60       0.00000
      3630.70       0.00000
      3630.80       0.00000
      3630.90       0.00000
      3631.00       0.00000
      3631.10       0.00000
      3631.20       0.00000
      3631.30       0.00000
      3631.40       0.00000
      3631.50       0.00000
      3631.60       0.00000
      3631.70       0.00000
      3631.80       0.00000
      3631.90       0.00000
      3632.00       0.00000
      3632.10       0.00000
      3632.20       0.00000
      3632.30       0.00000
      3632.40       0.00000
      3632.50       0.00000
      3632.60       0.00000
      3632.70       0.00000
      3632.80       0.00000
      3632.90       0.00000
      3633.00       0.00000
      3633.10       0.00000
      3633.20       0.00000
      3633.30       0.00000
      3633.40       0.00000
      3633.50       0.00000
      3633.60       0.00000
      3633.70       0.00000
      3633.80       0.00000
      3633.90       0.00000
      3634.00       0.00000
      3634.10       0.00000
      3634.20       0.00000
      3634.30       0.00000
      3634.40       0.00000
      3634.50       0.00000
      3634.60       0.00000
      3634.70       0.00000
      3634.80       0.00000
      3634.90       0.00000
      3635.00       0.00000
      3635.10       0.00000
      3635.20       0.00000
      3635.30       0.00000
      3635.40       0.00000
      3635.50       0.00000
      3635.60       0.00000
      3635.70       0.00000
      3635.80       0.00000
      3635.90       0.00000
      3636.00       0.00000
      3636.10       0.00000
      3636.20       0.00000
      3636.30       0.00000
      3636.40       0.00000
      3636.50       0.00000
      3636.60       0.00000
      3636.70       0.00000
      3636.80       0.00000
      3636.90       0.00000
      3637.00       0.00000
      3637.10       0.00000
      3637.20       0.00000
      3637.30       0.00000
      3637.40       0.00000
      3637.50       0.00000
      3637.60       0.00000
      3637.70       0.00000
      3637.80       0.00000
      3637.90       0.00000
      3638.00       0.00000
      3638.10       0.00000
      3638.20       0.00000
      3638.30       0.00000
      3638.40       0.00000
      3638.50       0.00000
      3638.60       0.00000
      3638.70       0.00000
      3638.80       0.00000
      3638.90       0.00000
      3639.00       0.00000
      3639.10       0.00000
      3639.20       0.00000
      3639.30       0.00000
      3639.40       0.00000
      3639.50       0.00000
      3639.60       0.00000
      3639.70       0.00000
      3639.80       0.00000
      3639.90       0.00000
      3640.00       0.00000
      3640.10       0.00000
      3640.20       0.00000
      3640.30       0.00000
      3640.40       0.00000
      3640.50       0.00000
      3640.60       0.00000
      3640.70       0.00000
      3640.80       0.00000
      3640.90       0.00000
      3641.00       0.00000
      3641.10       0.00000
      3641.20       0.00000
      3641.30       0.00000
      3641.40       0.00000
      3641.50       0.00000
      3641.60       0.00000
      3641.70       0.00000
      3641.80       0.00000
      3641.90       0.00000
      3642.00       0.00000
      3642.10       0.00000
      3642.20       0.00000
      3642.30       0.00000
      3642.40       0.00000
      3642.50       0.00000
      3642.60       0.00000
      3642.70       0.00000
      3642.80       0.00000
      3642.90       0.00000
      3643.00       0.00000
      3643.10       0.00000
      3643.20       0.00000
      3643.30       0.00000
      3643.40       0.00000
      3643.50       0.00000
      3643.60       0.00000
      3643.70       0.00000
      3643.80       0.00000
      3643.90       0.00000
      3644.00       0.00000
      3644.10       0.00000
      3644.20       0.00000
      3644.30       0.00000
      3644.40       0.00000
      3644.50       0.00000
      3644.60       0.00000
      3644.70       0.00000
      3644.80       0.00000
      3644.90       0.00000
      3645.00       0.00000
      3645.10       0.00000
      3645.20       0.00000
      3645.30       0.00000
      3645.40       0.00000
      3645.50       0.00000
      3645.60       0.00000
      3645.70       0.00000
      3645.80       0.00000
      3645.90       0.00000
      3646.00       0.00000
      3646.10       0.00000
      3646.20       0.00000
      3646.30       0.00000
      3646.40       0.00000
      3646.50       0.00000
      3646.60       0.00000
      3646.70       0.00000
      3646.80       0.00000
      3646.90       0.00000
      3647.00       0.00000
      3647.10       0.00000
      3647.20       0.00000
      3647.30       0.00000
      3647.40       0.00000
      3647.50       0.00000
      3647.60       0.00000
      3647.70       0.00000
      3647.80       0.00000
      3647.90       0.00000
      3648.00       0.00000
      3648.10       0.00000
      3648.20       0.00000
      3648.30       0.00000
      3648.40       0.00000
      3648.50       0.00000
      3648.60       0.00000
      3648.70       0.00000
      3648.80       0.00000
      3648.90       0.00000
      3649.00       0.00000
      3649.10       0.00000
      3649.20       0.00000
      3649.30       0.00000
      3649.40       0.00000
      3649.50       0.00000
      3649.60       0.00000
      3649.70       0.00000
      3649.80       0.00000
      3649.90       0.00000
      3650.00       0.00000
      3650.10       0.00000
      3650.20       0.00000
      3650.30       0.00000
      3650.40       0.00000
      3650.50       0.00000
      3650.60       0.00000
      3650.70       0.00000
      3650.80       0.00000
      3650.90       0.00000
      3651.00       0.00000
      3651.10       0.00000
      3651.20       0.00000
      3651.30       0.00000
      3651.40       0.00000
      3651.50       0.00000
      3651.60       0.00000
      3651.70       0.00000
      3651.80       0.00000
      3651.90       0.00000
      3652.00       0.00000
      3652.10       0.00000
      3652.20       0.00000
      3652.30       0.00000
      3652.40       0.00000
      3652.50       0.00000
      3652.60       0.00000
      3652.70       0.00000
      3652.80       0.00000
      3652.90       0.00000
      3653.00       0.00000
      3653.10       0.00000
      3653.20       0.00000
      3653.30       0.00000
      3653.40       0.00000
      3653.50       0.00000
      3653.60       0.00000
      3653.70       0.00000
