# B8V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001166757
 3600.1      0.0001166699
 3600.2      0.0001166642
 3600.3      0.0001166585
 3600.4      0.0001166528
 3600.5      0.0001166471
 3600.6      0.0001166413
 3600.7      0.0001166356
 3600.8      0.0001166299
 3600.9      0.0001166241
 3601.0      0.0001166184
 3601.1      0.0001166127
 3601.2      0.0001166070
 3601.3      0.0001166012
 3601.4      0.0001165955
 3601.5      0.0001165898
 3601.6      0.0001165841
 3601.7      0.0001165784
 3601.8      0.0001165727
 3601.9      0.0001165670
 3602.0      0.0001165612
 3602.1      0.0001165555
 3602.2      0.0001165498
 3602.3      0.0001165440
 3602.4      0.0001165383
 3602.5      0.0001165326
 3602.6      0.0001165269
 3602.7      0.0001165211
 3602.8      0.0001165154
 3602.9      0.0001165097
 3603.0      0.0001165040
 3603.1      0.0001164983
 3603.2      0.0001164926
 3603.3      0.0001164870
 3603.4      0.0001164813
 3603.5      0.0001164756
 3603.6      0.0001164699
 3603.7      0.0001164643
 3603.8      0.0001164586
 3603.9      0.0001164529
 3604.0      0.0001164472
 3604.1      0.0001164415
 3604.2      0.0001164358
 3604.3      0.0001164301
 3604.4      0.0001164244
 3604.5      0.0001164187
 3604.6      0.0001164130
 3604.7      0.0001164073
 3604.8      0.0001164016
 3604.9      0.0001163959
 3605.0      0.0001163901
 3605.1      0.0001163844
 3605.2      0.0001163787
 3605.3      0.0001163729
 3605.4      0.0001163671
 3605.5      0.0001163614
 3605.6      0.0001163556
 3605.7      0.0001163499
 3605.8      0.0001163441
 3605.9      0.0001163384
 3606.0      0.0001163326
 3606.1      0.0001163269
 3606.2      0.0001163212
 3606.3      0.0001163155
 3606.4      0.0001163098
 3606.5      0.0001163041
 3606.6      0.0001162984
 3606.7      0.0001162927
 3606.8      0.0001162870
 3606.9      0.0001162813
 3607.0      0.0001162756
 3607.1      0.0001162699
 3607.2      0.0001162643
 3607.3      0.0001162586
 3607.4      0.0001162530
 3607.5      0.0001162473
 3607.6      0.0001162416
 3607.7      0.0001162360
 3607.8      0.0001162303
 3607.9      0.0001162247
 3608.0      0.0001162190
 3608.1      0.0001162133
 3608.2      0.0001162076
 3608.3      0.0001162019
 3608.4      0.0001161962
 3608.5      0.0001161905
 3608.6      0.0001161848
 3608.7      0.0001161791
 3608.8      0.0001161734
 3608.9      0.0001161677
 3609.0      0.0001161620
 3609.1      0.0001161564
 3609.2      0.0001161509
 3609.3      0.0001161453
 3609.4      0.0001161398
 3609.5      0.0001161342
 3609.6      0.0001161285
 3609.7      0.0001161227
 3609.8      0.0001161168
 3609.9      0.0001161108
 3610.0      0.0001161046
 3610.1      0.0001160982
 3610.2      0.0001160916
 3610.3      0.0001160849
 3610.4      0.0001160781
 3610.5      0.0001160712
 3610.6      0.0001160642
 3610.7      0.0001160572
 3610.8      0.0001160501
 3610.9      0.0001160431
 3611.0      0.0001160361
 3611.1      0.0001160292
 3611.2      0.0001160224
 3611.3      0.0001160155
 3611.4      0.0001160087
 3611.5      0.0001160018
