# Bulge spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000668366
 3600.1      0.0000667736
 3600.2      0.0000667099
 3600.3      0.0000666451
 3600.4      0.0000665796
 3600.5      0.0000665133
 3600.6      0.0000664462
 3600.7      0.0000663787
 3600.8      0.0000663105
 3600.9      0.0000662420
 3601.0      0.0000661729
 3601.1      0.0000661035
 3601.2      0.0000660340
 3601.3      0.0000659641
 3601.4      0.0000658943
 3601.5      0.0000658242
 3601.6      0.0000657542
 3601.7      0.0000656844
 3601.8      0.0000656146
 3601.9      0.0000655451
 3602.0      0.0000654758
 3602.1      0.0000654069
 3602.2      0.0000653385
 3602.3      0.0000652705
 3602.4      0.0000652032
 3602.5      0.0000651363
 3602.6      0.0000650702
 3602.7      0.0000650050
 3602.8      0.0000649405
 3602.9      0.0000648770
 3603.0      0.0000648144
 3603.1      0.0000647528
 3603.2      0.0000646925
 3603.3      0.0000646332
 3603.4      0.0000645754
 3603.5      0.0000645187
 3603.6      0.0000644634
 3603.7      0.0000644097
 3603.8      0.0000643574
 3603.9      0.0000643069
 3604.0      0.0000642578
 3604.1      0.0000642106
 3604.2      0.0000641652
 3604.3      0.0000641216
 3604.4      0.0000640801
 3604.5      0.0000640405
 3604.6      0.0000640030
 3604.7      0.0000639677
 3604.8      0.0000639346
 3604.9      0.0000639038
 3605.0      0.0000638753
 3605.1      0.0000638508
 3605.2      0.0000638284
 3605.3      0.0000638078
 3605.4      0.0000637893
 3605.5      0.0000637726
 3605.6      0.0000637578
 3605.7      0.0000637449
 3605.8      0.0000637338
 3605.9      0.0000637245
 3606.0      0.0000637170
 3606.1      0.0000637112
 3606.2      0.0000637071
 3606.3      0.0000637047
 3606.4      0.0000637039
 3606.5      0.0000637048
 3606.6      0.0000637073
 3606.7      0.0000637113
 3606.8      0.0000637169
 3606.9      0.0000637240
 3607.0      0.0000637326
 3607.1      0.0000637427
 3607.2      0.0000637541
 3607.3      0.0000637670
 3607.4      0.0000637812
 3607.5      0.0000637968
 3607.6      0.0000638137
 3607.7      0.0000638319
 3607.8      0.0000638514
 3607.9      0.0000638720
 3608.0      0.0000638939
 3608.1      0.0000639169
 3608.2      0.0000639411
 3608.3      0.0000639664
 3608.4      0.0000639928
 3608.5      0.0000640202
 3608.6      0.0000640487
 3608.7      0.0000640782
 3608.8      0.0000641086
 3608.9      0.0000641400
 3609.0      0.0000641723
 3609.1      0.0000642055
 3609.2      0.0000642395
 3609.3      0.0000642745
 3609.4      0.0000643101
 3609.5      0.0000643466
 3609.6      0.0000643838
 3609.7      0.0000644217
 3609.8      0.0000644603
 3609.9      0.0000644995
 3610.0      0.0000645395
 3610.1      0.0000645643
 3610.2      0.0000645897
 3610.3      0.0000646160
 3610.4      0.0000646428
 3610.5      0.0000646705
 3610.6      0.0000646990
 3610.7      0.0000647283
 3610.8      0.0000647584
 3610.9      0.0000647892
 3611.0      0.0000648211
 3611.1      0.0000648538
 3611.2      0.0000648873
 3611.3      0.0000649219
 3611.4      0.0000649573
 3611.5      0.0000649938
 3611.6      0.0000650313
 3611.7      0.0000650697
 3611.8      0.0000651092
 3611.9      0.0000651497
 3612.0      0.0000651914
 3612.1      0.0000652342
 3612.2      0.0000652780
 3612.3      0.0000653231
 3612.4      0.0000653692
 3612.5      0.0000654166
 3612.6      0.0000654653
 3612.7      0.0000655151
 3612.8      0.0000655662
 3612.9      0.0000656185
 3613.0      0.0000656722
 3613.1      0.0000657273
 3613.2      0.0000657835
 3613.3      0.0000658413
 3613.4      0.0000659003
 3613.5      0.0000659609
 3613.6      0.0000660229
 3613.7      0.0000660862
 3613.8      0.0000661511
 3613.9      0.0000662174
 3614.0      0.0000662853
 3614.1      0.0000663548
 3614.2      0.0000664257
 3614.3      0.0000664983
 3614.4      0.0000665724
 3614.5      0.0000666483
 3614.6      0.0000667258
 3614.7      0.0000668048
 3614.8      0.0000668857
 3614.9      0.0000669681
 3615.0      0.0000670525
 3615.1      0.0000671315
 3615.2      0.0000672119
 3615.3      0.0000672943
 3615.4      0.0000673780
 3615.5      0.0000674636
 3615.6      0.0000675507
 3615.7      0.0000676393
 3615.8      0.0000677296
 3615.9      0.0000678213
 3616.0      0.0000679148
 3616.1      0.0000680098
 3616.2      0.0000681061
 3616.3      0.0000682042
 3616.4      0.0000683035
 3616.5      0.0000684045
 3616.6      0.0000685070
 3616.7      0.0000686108
 3616.8      0.0000687162
 3616.9      0.0000688228
 3617.0      0.0000689311
 3617.1      0.0000690409
 3617.2      0.0000691517
 3617.3      0.0000692642
 3617.4      0.0000693778
 3617.5      0.0000694930
 3617.6      0.0000696096
 3617.7      0.0000697272
 3617.8      0.0000698465
 3617.9      0.0000699667
 3618.0      0.0000700886
 3618.1      0.0000702117
 3618.2      0.0000703358
 3618.3      0.0000704614
 3618.4      0.0000705880
 3618.5      0.0000707161
 3618.6      0.0000708454
 3618.7      0.0000709756
 3618.8      0.0000711074
 3618.9      0.0000712400
 3619.0      0.0000713740
 3619.1      0.0000715093
 3619.2      0.0000716453
 3619.3      0.0000717828
 3619.4      0.0000719210
 3619.5      0.0000720607
 3619.6      0.0000722015
 3619.7      0.0000723430
 3619.8      0.0000724860
 3619.9      0.0000726296
 3620.0      0.0000727746
 3620.1      0.0000729345
 3620.2      0.0000730964
 3620.3      0.0000732612
 3620.4      0.0000734277
 3620.5      0.0000735966
 3620.6      0.0000737675
 3620.7      0.0000739397
 3620.8      0.0000741139
 3620.9      0.0000742891
 3621.0      0.0000744660
 3621.1      0.0000746441
 3621.2      0.0000748228
 3621.3      0.0000750028
 3621.4      0.0000751830
 3621.5      0.0000753642
 3621.6      0.0000755458
 3621.7      0.0000757273
 3621.8      0.0000759093
 3621.9      0.0000760908
 3622.0      0.0000762725
 3622.1      0.0000764540
 3622.2      0.0000766345
 3622.3      0.0000768148
 3622.4      0.0000769939
 3622.5      0.0000771724
 3622.6      0.0000773499
 3622.7      0.0000775258
 3622.8      0.0000777007
 3622.9      0.0000778736
 3623.0      0.0000780453
 3623.1      0.0000782152
 3623.2      0.0000783826
 3623.3      0.0000785484
 3623.4      0.0000787115
 3623.5      0.0000788725
 3623.6      0.0000790310
