# Elliptical spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000365933
 3600.1      0.0000366498
 3600.2      0.0000367059
 3600.3      0.0000367620
 3600.4      0.0000368177
 3600.5      0.0000368733
 3600.6      0.0000369287
 3600.7      0.0000369838
 3600.8      0.0000370387
 3600.9      0.0000370933
 3601.0      0.0000371477
 3601.1      0.0000372019
 3601.2      0.0000372557
 3601.3      0.0000373093
 3601.4      0.0000373626
 3601.5      0.0000374156
 3601.6      0.0000374685
 3601.7      0.0000375209
 3601.8      0.0000375731
 3601.9      0.0000376249
 3602.0      0.0000376765
 3602.1      0.0000377278
 3602.2      0.0000377787
 3602.3      0.0000378294
 3602.4      0.0000378796
 3602.5      0.0000379296
 3602.6      0.0000379793
 3602.7      0.0000380285
 3602.8      0.0000380775
 3602.9      0.0000381260
 3603.0      0.0000381742
 3603.1      0.0000382221
 3603.2      0.0000382696
 3603.3      0.0000383167
 3603.4      0.0000383634
 3603.5      0.0000384097
 3603.6      0.0000384557
 3603.7      0.0000385012
 3603.8      0.0000385464
 3603.9      0.0000385911
 3604.0      0.0000386355
 3604.1      0.0000386794
 3604.2      0.0000387228
 3604.3      0.0000387659
 3604.4      0.0000388085
 3604.5      0.0000388507
 3604.6      0.0000388924
 3604.7      0.0000389336
 3604.8      0.0000389745
 3604.9      0.0000390148
 3605.0      0.0000390547
 3605.1      0.0000390966
 3605.2      0.0000391379
 3605.3      0.0000391788
 3605.4      0.0000392193
 3605.5      0.0000392594
 3605.6      0.0000392991
 3605.7      0.0000393383
 3605.8      0.0000393771
 3605.9      0.0000394155
 3606.0      0.0000394535
 3606.1      0.0000394911
 3606.2      0.0000395281
 3606.3      0.0000395649
 3606.4      0.0000396011
 3606.5      0.0000396370
 3606.6      0.0000396725
 3606.7      0.0000397075
 3606.8      0.0000397422
 3606.9      0.0000397764
 3607.0      0.0000398103
 3607.1      0.0000398437
 3607.2      0.0000398767
 3607.3      0.0000399093
 3607.4      0.0000399415
 3607.5      0.0000399734
 3607.6      0.0000400048
 3607.7      0.0000400358
 3607.8      0.0000400664
 3607.9      0.0000400966
 3608.0      0.0000401264
 3608.1      0.0000401559
 3608.2      0.0000401849
 3608.3      0.0000402136
 3608.4      0.0000402418
 3608.5      0.0000402697
 3608.6      0.0000402972
 3608.7      0.0000403243
 3608.8      0.0000403510
 3608.9      0.0000403773
 3609.0      0.0000404033
 3609.1      0.0000404289
 3609.2      0.0000404541
 3609.3      0.0000404789
