# F0I spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000853250
 3600.1      0.0000853287
 3600.2      0.0000853325
 3600.3      0.0000853362
 3600.4      0.0000853399
 3600.5      0.0000853437
 3600.6      0.0000853474
 3600.7      0.0000853511
 3600.8      0.0000853549
 3600.9      0.0000853586
 3601.0      0.0000853623
 3601.1      0.0000853661
 3601.2      0.0000853698
 3601.3      0.0000853736
 3601.4      0.0000853773
 3601.5      0.0000853810
 3601.6      0.0000853848
 3601.7      0.0000853885
 3601.8      0.0000853922
 3601.9      0.0000853960
 3602.0      0.0000853997
 3602.1      0.0000854034
 3602.2      0.0000854071
 3602.3      0.0000854108
 3602.4      0.0000854145
 3602.5      0.0000854181
 3602.6      0.0000854218
 3602.7      0.0000854255
 3602.8      0.0000854292
 3602.9      0.0000854329
 3603.0      0.0000854366
 3603.1      0.0000854403
 3603.2      0.0000854441
 3603.3      0.0000854478
 3603.4      0.0000854515
 3603.5      0.0000854553
 3603.6      0.0000854590
 3603.7      0.0000854628
 3603.8      0.0000854665
 3603.9      0.0000854703
 3604.0      0.0000854740
 3604.1      0.0000854777
 3604.2      0.0000854814
 3604.3      0.0000854851
 3604.4      0.0000854888
 3604.5      0.0000854925
 3604.6      0.0000854962
 3604.7      0.0000854999
 3604.8      0.0000855036
 3604.9      0.0000855073
 3605.0      0.0000855110
 3605.1      0.0000855147
 3605.2      0.0000855184
 3605.3      0.0000855222
 3605.4      0.0000855259
 3605.5      0.0000855297
 3605.6      0.0000855334
 3605.7      0.0000855372
 3605.8      0.0000855409
 3605.9      0.0000855447
 3606.0      0.0000855484
 3606.1      0.0000855521
 3606.2      0.0000855558
 3606.3      0.0000855596
 3606.4      0.0000855633
 3606.5      0.0000855670
 3606.6      0.0000855707
 3606.7      0.0000855744
 3606.8      0.0000855781
 3606.9      0.0000855818
 3607.0      0.0000855855
 3607.1      0.0000855892
 3607.2      0.0000855929
 3607.3      0.0000855966
 3607.4      0.0000856003
 3607.5      0.0000856040
 3607.6      0.0000856077
 3607.7      0.0000856114
 3607.8      0.0000856151
 3607.9      0.0000856188
 3608.0      0.0000856225
 3608.1      0.0000856262
 3608.2      0.0000856299
 3608.3      0.0000856336
 3608.4      0.0000856373
 3608.5      0.0000856410
 3608.6      0.0000856447
 3608.7      0.0000856484
 3608.8      0.0000856521
 3608.9      0.0000856557
 3609.0      0.0000856594
 3609.1      0.0000856627
 3609.2      0.0000856659
 3609.3      0.0000856691
 3609.4      0.0000856724
 3609.5      0.0000856758
 3609.6      0.0000856794
 3609.7      0.0000856832
 3609.8      0.0000856873
 3609.9      0.0000856917
 3610.0      0.0000856966
 3610.1      0.0000857021
 3610.2      0.0000857080
 3610.3      0.0000857143
 3610.4      0.0000857208
 3610.5      0.0000857277
 3610.6      0.0000857346
 3610.7      0.0000857417
 3610.8      0.0000857489
 3610.9      0.0000857560
 3611.0      0.0000857632
 3611.1      0.0000857698
 3611.2      0.0000857765
 3611.3      0.0000857831
 3611.4      0.0000857898
 3611.5      0.0000857965
 3611.6      0.0000858031
 3611.7      0.0000858098
 3611.8      0.0000858164
 3611.9      0.0000858231
 3612.0      0.0000858298
 3612.1      0.0000858364
 3612.2      0.0000858431
 3612.3      0.0000858497
 3612.4      0.0000858564
 3612.5      0.0000858631
 3612.6      0.0000858697
 3612.7      0.0000858764
 3612.8      0.0000858830
 3612.9      0.0000858897
 3613.0      0.0000858963
 3613.1      0.0000859030
 3613.2      0.0000859096
 3613.3      0.0000859163
 3613.4      0.0000859229
 3613.5      0.0000859296
 3613.6      0.0000859362
 3613.7      0.0000859428
 3613.8      0.0000859495
 3613.9      0.0000859561
 3614.0      0.0000859627
 3614.1      0.0000859694
 3614.2      0.0000859760
 3614.3      0.0000859826
 3614.4      0.0000859892
 3614.5      0.0000859958
 3614.6      0.0000860024
 3614.7      0.0000860090
 3614.8      0.0000860157
 3614.9      0.0000860223
 3615.0      0.0000860289
 3615.1      0.0000860356
 3615.2      0.0000860422
 3615.3      0.0000860488
 3615.4      0.0000860555
 3615.5      0.0000860622
 3615.6      0.0000860688
 3615.7      0.0000860755
 3615.8      0.0000860821
 3615.9      0.0000860888
 3616.0      0.0000860954
 3616.1      0.0000861021
 3616.2      0.0000861087
 3616.3      0.0000861153
 3616.4      0.0000861219
 3616.5      0.0000861286
 3616.6      0.0000861352
 3616.7      0.0000861418
 3616.8      0.0000861484
 3616.9      0.0000861551
 3617.0      0.0000861617
 3617.1      0.0000861683
 3617.2      0.0000861750
 3617.3      0.0000861816
 3617.4      0.0000861882
 3617.5      0.0000861949
 3617.6      0.0000862015
