# G5I spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000256953
 3600.1      0.0000257433
 3600.2      0.0000257911
 3600.3      0.0000258391
 3600.4      0.0000258870
 3600.5      0.0000259350
 3600.6      0.0000259830
 3600.7      0.0000260308
 3600.8      0.0000260788
 3600.9      0.0000261267
 3601.0      0.0000261747
 3601.1      0.0000262226
 3601.2      0.0000262705
 3601.3      0.0000263185
 3601.4      0.0000263663
 3601.5      0.0000264143
 3601.6      0.0000264622
 3601.7      0.0000265101
 3601.8      0.0000265580
 3601.9      0.0000266059
 3602.0      0.0000266538
 3602.1      0.0000267018
 3602.2      0.0000267496
 3602.3      0.0000267975
 3602.4      0.0000268454
 3602.5      0.0000268933
 3602.6      0.0000269412
 3602.7      0.0000269891
 3602.8      0.0000270370
 3602.9      0.0000270848
 3603.0      0.0000271327
 3603.1      0.0000271806
 3603.2      0.0000272284
 3603.3      0.0000272764
 3603.4      0.0000273242
 3603.5      0.0000273721
 3603.6      0.0000274200
 3603.7      0.0000274678
 3603.8      0.0000275157
 3603.9      0.0000275635
 3604.0      0.0000276114
 3604.1      0.0000276593
 3604.2      0.0000277071
 3604.3      0.0000277549
 3604.4      0.0000278027
 3604.5      0.0000278506
 3604.6      0.0000278985
 3604.7      0.0000279463
 3604.8      0.0000279941
 3604.9      0.0000280419
 3605.0      0.0000280898
 3605.1      0.0000281376
 3605.2      0.0000281854
 3605.3      0.0000282332
 3605.4      0.0000282810
 3605.5      0.0000283288
 3605.6      0.0000283767
 3605.7      0.0000284244
 3605.8      0.0000284722
 3605.9      0.0000285199
 3606.0      0.0000285678
 3606.1      0.0000286156
 3606.2      0.0000286633
 3606.3      0.0000287112
 3606.4      0.0000287589
 3606.5      0.0000288067
 3606.6      0.0000288546
 3606.7      0.0000289023
 3606.8      0.0000289501
 3606.9      0.0000289978
 3607.0      0.0000290456
 3607.1      0.0000290934
 3607.2      0.0000291411
 3607.3      0.0000291889
 3607.4      0.0000292366
 3607.5      0.0000292844
 3607.6      0.0000293322
 3607.7      0.0000293799
 3607.8      0.0000294277
 3607.9      0.0000294754
 3608.0      0.0000295232
 3608.1      0.0000295709
 3608.2      0.0000296186
 3608.3      0.0000296664
 3608.4      0.0000297141
 3608.5      0.0000297618
 3608.6      0.0000298096
 3608.7      0.0000298573
 3608.8      0.0000299050
 3608.9      0.0000299527
 3609.0      0.0000300004
 3609.1      0.0000300520
 3609.2      0.0000301038
 3609.3      0.0000301559
 3609.4      0.0000302073
 3609.5      0.0000302578
 3609.6      0.0000303068
 3609.7      0.0000303537
 3609.8      0.0000303981
 3609.9      0.0000304395
 3610.0      0.0000304775
 3610.1      0.0000305100
 3610.2      0.0000305389
 3610.3      0.0000305648
 3610.4      0.0000305882
 3610.5      0.0000306096
 3610.6      0.0000306295
 3610.7      0.0000306484
 3610.8      0.0000306669
 3610.9      0.0000306852
 3611.0      0.0000307042
 3611.1      0.0000307268
 3611.2      0.0000307495
