# G8V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000749335
 3600.1      0.0000750257
 3600.2      0.0000751177
 3600.3      0.0000752099
 3600.4      0.0000753019
 3600.5      0.0000753941
 3600.6      0.0000754863
 3600.7      0.0000755783
 3600.8      0.0000756705
 3600.9      0.0000757624
 3601.0      0.0000758546
 3601.1      0.0000759468
 3601.2      0.0000760387
 3601.3      0.0000761309
 3601.4      0.0000762228
 3601.5      0.0000763149
 3601.6      0.0000764071
 3601.7      0.0000764990
 3601.8      0.0000765911
 3601.9      0.0000766830
 3602.0      0.0000767751
 3602.1      0.0000768672
 3602.2      0.0000769591
 3602.3      0.0000770512
 3602.4      0.0000771431
 3602.5      0.0000772352
 3602.6      0.0000773273
 3602.7      0.0000774192
 3602.8      0.0000775112
 3602.9      0.0000776031
 3603.0      0.0000776951
 3603.1      0.0000777872
 3603.2      0.0000778790
 3603.3      0.0000779711
 3603.4      0.0000780629
 3603.5      0.0000781549
 3603.6      0.0000782469
 3603.7      0.0000783387
 3603.8      0.0000784307
 3603.9      0.0000785225
 3604.0      0.0000786145
 3604.1      0.0000787065
 3604.2      0.0000787983
 3604.3      0.0000788903
 3604.4      0.0000789821
 3604.5      0.0000790742
 3604.6      0.0000791662
 3604.7      0.0000792579
 3604.8      0.0000793499
 3604.9      0.0000794417
 3605.0      0.0000795337
 3605.1      0.0000796257
 3605.2      0.0000797174
 3605.3      0.0000798094
 3605.4      0.0000799011
 3605.5      0.0000799930
 3605.6      0.0000800850
 3605.7      0.0000801767
 3605.8      0.0000802686
 3605.9      0.0000803603
 3606.0      0.0000804522
 3606.1      0.0000805441
 3606.2      0.0000806358
 3606.3      0.0000807277
 3606.4      0.0000808193
 3606.5      0.0000809112
 3606.6      0.0000810031
 3606.7      0.0000810947
 3606.8      0.0000811866
 3606.9      0.0000812782
 3607.0      0.0000813700
 3607.1      0.0000814619
 3607.2      0.0000815535
 3607.3      0.0000816454
 3607.4      0.0000817370
 3607.5      0.0000818288
 3607.6      0.0000819207
 3607.7      0.0000820123
 3607.8      0.0000821041
 3607.9      0.0000821957
 3608.0      0.0000822875
 3608.1      0.0000823794
 3608.2      0.0000824710
 3608.3      0.0000825628
 3608.4      0.0000826544
 3608.5      0.0000827462
 3608.6      0.0000828380
 3608.7      0.0000829295
 3608.8      0.0000830213
 3608.9      0.0000831128
 3609.0      0.0000832046
 3609.1      0.0000833093
 3609.2      0.0000834154
 3609.3      0.0000835217
 3609.4      0.0000836261
 3609.5      0.0000837273
 3609.6      0.0000838233
 3609.7      0.0000839122
 3609.8      0.0000839927
 3609.9      0.0000840628
 3610.0      0.0000841209
 3610.1      0.0000841601
 3610.2      0.0000841873
 3610.3      0.0000842041
 3610.4      0.0000842124
 3610.5      0.0000842137
 3610.6      0.0000842100
 3610.7      0.0000842027
 3610.8      0.0000841938
 3610.9      0.0000841849
 3611.0      0.0000841776
 3611.1      0.0000841833
 3611.2      0.0000841890
 3611.3      0.0000841947
 3611.4      0.0000842004
 3611.5      0.0000842060
 3611.6      0.0000842117
 3611.7      0.0000842174
 3611.8      0.0000842231
 3611.9      0.0000842287
 3612.0      0.0000842344
 3612.1      0.0000842401
 3612.2      0.0000842457
 3612.3      0.0000842514
 3612.4      0.0000842570
 3612.5      0.0000842627
 3612.6      0.0000842684
 3612.7      0.0000842740
 3612.8      0.0000842797
 3612.9      0.0000842853
 3613.0      0.0000842910
 3613.1      0.0000842966
 3613.2      0.0000843023
 3613.3      0.0000843079
 3613.4      0.0000843136
 3613.5      0.0000843192
 3613.6      0.0000843249
 3613.7      0.0000843306
 3613.8      0.0000843362
 3613.9      0.0000843419
 3614.0      0.0000843475
 3614.1      0.0000843532
 3614.2      0.0000843589
 3614.3      0.0000843645
 3614.4      0.0000843702
 3614.5      0.0000843759
 3614.6      0.0000843815
 3614.7      0.0000843872
 3614.8      0.0000843929
 3614.9      0.0000843985
 3615.0      0.0000844042
 3615.1      0.0000844099
 3615.2      0.0000844155
 3615.3      0.0000844212
 3615.4      0.0000844269
 3615.5      0.0000844326
 3615.6      0.0000844382
 3615.7      0.0000844439
 3615.8      0.0000844496
 3615.9      0.0000844552
 3616.0      0.0000844609
 3616.1      0.0000844665
 3616.2      0.0000844722
 3616.3      0.0000844778
 3616.4      0.0000844834
 3616.5      0.0000844891
 3616.6      0.0000844947
 3616.7      0.0000845003
 3616.8      0.0000845060
 3616.9      0.0000845116
 3617.0      0.0000845172
 3617.1      0.0000845229
 3617.2      0.0000845285
 3617.3      0.0000845342
 3617.4      0.0000845398
 3617.5      0.0000845455
 3617.6      0.0000845511
 3617.7      0.0000845568
 3617.8      0.0000845624
 3617.9      0.0000845680
 3618.0      0.0000845737
 3618.1      0.0000845793
 3618.2      0.0000845849
 3618.3      0.0000845905
 3618.4      0.0000845961
 3618.5      0.0000846018
 3618.6      0.0000846074
 3618.7      0.0000846130
 3618.8      0.0000846186
 3618.9      0.0000846242
 3619.0      0.0000846298
 3619.1      0.0000846355
 3619.2      0.0000846411
 3619.3      0.0000846468
 3619.4      0.0000846524
 3619.5      0.0000846581
 3619.6      0.0000846638
 3619.7      0.0000846694
 3619.8      0.0000846751
 3619.9      0.0000846807
 3620.0      0.0000846864
 3620.1      0.0000846920
 3620.2      0.0000846977
 3620.3      0.0000847033
 3620.4      0.0000847089
 3620.5      0.0000847145
 3620.6      0.0000847202
 3620.7      0.0000847258
 3620.8      0.0000847314
 3620.9      0.0000847370
 3621.0      0.0000847427
 3621.1      0.0000847483
 3621.2      0.0000847539
 3621.3      0.0000847596
 3621.4      0.0000847652
 3621.5      0.0000847709
 3621.6      0.0000847765
 3621.7      0.0000847821
 3621.8      0.0000847878
 3621.9      0.0000847934
 3622.0      0.0000847991
 3622.1      0.0000848047
 3622.2      0.0000848103
 3622.3      0.0000848160
 3622.4      0.0000848216
 3622.5      0.0000848272
 3622.6      0.0000848329
 3622.7      0.0000848385
 3622.8      0.0000848441
 3622.9      0.0000848497
 3623.0      0.0000848554
 3623.1      0.0000848610
 3623.2      0.0000848666
 3623.3      0.0000848722
 3623.4      0.0000848778
 3623.5      0.0000848834
 3623.6      0.0000848890
 3623.7      0.0000848946
 3623.8      0.0000849003
 3623.9      0.0000849058
 3624.0      0.0000849115
 3624.1      0.0000849171
 3624.2      0.0000849227
 3624.3      0.0000849283
 3624.4      0.0000849339
 3624.5      0.0000849395
 3624.6      0.0000849451
 3624.7      0.0000849507
 3624.8      0.0000849564
 3624.9      0.0000849620
 3625.0      0.0000849676
 3625.1      0.0000849733
 3625.2      0.0000849789
