# K7V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000095005
 3600.1      0.0000095219
 3600.2      0.0000095431
 3600.3      0.0000095644
 3600.4      0.0000095857
 3600.5      0.0000096070
 3600.6      0.0000096283
 3600.7      0.0000096496
 3600.8      0.0000096709
 3600.9      0.0000096922
 3601.0      0.0000097135
 3601.1      0.0000097348
 3601.2      0.0000097561
 3601.3      0.0000097774
 3601.4      0.0000097986
 3601.5      0.0000098199
 3601.6      0.0000098412
 3601.7      0.0000098625
 3601.8      0.0000098838
 3601.9      0.0000099050
 3602.0      0.0000099263
 3602.1      0.0000099476
 3602.2      0.0000099689
 3602.3      0.0000099902
 3602.4      0.0000100114
 3602.5      0.0000100327
 3602.6      0.0000100540
 3602.7      0.0000100753
 3602.8      0.0000100965
 3602.9      0.0000101178
 3603.0      0.0000101391
 3603.1      0.0000101604
 3603.2      0.0000101816
 3603.3      0.0000102029
 3603.4      0.0000102241
 3603.5      0.0000102454
 3603.6      0.0000102666
 3603.7      0.0000102879
 3603.8      0.0000103091
 3603.9      0.0000103304
 3604.0      0.0000103516
 3604.1      0.0000103729
 3604.2      0.0000103941
 3604.3      0.0000104154
 3604.4      0.0000104367
 3604.5      0.0000104579
 3604.6      0.0000104792
 3604.7      0.0000105004
 3604.8      0.0000105217
 3604.9      0.0000105429
 3605.0      0.0000105642
 3605.1      0.0000105855
 3605.2      0.0000106067
 3605.3      0.0000106279
 3605.4      0.0000106491
 3605.5      0.0000106704
 3605.6      0.0000106916
 3605.7      0.0000107128
 3605.8      0.0000107341
 3605.9      0.0000107553
 3606.0      0.0000107765
 3606.1      0.0000107978
 3606.2      0.0000108190
 3606.3      0.0000108402
 3606.4      0.0000108614
 3606.5      0.0000108827
 3606.6      0.0000109039
 3606.7      0.0000109251
 3606.8      0.0000109463
 3606.9      0.0000109675
 3607.0      0.0000109888
 3607.1      0.0000110100
 3607.2      0.0000110312
 3607.3      0.0000110524
 3607.4      0.0000110736
 3607.5      0.0000110948
 3607.6      0.0000111161
 3607.7      0.0000111372
 3607.8      0.0000111585
 3607.9      0.0000111796
 3608.0      0.0000112009
 3608.1      0.0000112221
 3608.2      0.0000112433
 3608.3      0.0000112645
 3608.4      0.0000112857
 3608.5      0.0000113069
 3608.6      0.0000113281
 3608.7      0.0000113493
 3608.8      0.0000113705
 3608.9      0.0000113917
 3609.0      0.0000114129
 3609.1      0.0000114349
 3609.2      0.0000114569
 3609.3      0.0000114789
 3609.4      0.0000115008
 3609.5      0.0000115226
 3609.6      0.0000115440
 3609.7      0.0000115650
 3609.8      0.0000115856
 3609.9      0.0000116055
 3610.0      0.0000116248
 3610.1      0.0000116430
 3610.2      0.0000116604
 3610.3      0.0000116773
 3610.4      0.0000116937
 3610.5      0.0000117096
 3610.6      0.0000117253
 3610.7      0.0000117408
 3610.8      0.0000117562
 3610.9      0.0000117716
 3611.0      0.0000117871
 3611.1      0.0000118033
 3611.2      0.0000118195
 3611.3      0.0000118358
 3611.4      0.0000118520
 3611.5      0.0000118682
 3611.6      0.0000118844
 3611.7      0.0000119006
 3611.8      0.0000119169
 3611.9      0.0000119331
 3612.0      0.0000119493
 3612.1      0.0000119655
 3612.2      0.0000119817
 3612.3      0.0000119979
 3612.4      0.0000120141
 3612.5      0.0000120303
 3612.6      0.0000120466
 3612.7      0.0000120627
 3612.8      0.0000120790
 3612.9      0.0000120951
 3613.0      0.0000121114
 3613.1      0.0000121276
 3613.2      0.0000121438
 3613.3      0.0000121600
 3613.4      0.0000121762
 3613.5      0.0000121924
 3613.6      0.0000122087
 3613.7      0.0000122248
 3613.8      0.0000122411
 3613.9      0.0000122572
 3614.0      0.0000122735
 3614.1      0.0000122897
 3614.2      0.0000123058
 3614.3      0.0000123220
 3614.4      0.0000123382
 3614.5      0.0000123544
 3614.6      0.0000123706
 3614.7      0.0000123868
 3614.8      0.0000124030
 3614.9      0.0000124191
 3615.0      0.0000124353
 3615.1      0.0000124515
 3615.2      0.0000124677
 3615.3      0.0000124839
 3615.4      0.0000125000
 3615.5      0.0000125162
 3615.6      0.0000125324
 3615.7      0.0000125486
 3615.8      0.0000125648
 3615.9      0.0000125810
 3616.0      0.0000125971
 3616.1      0.0000126133
 3616.2      0.0000126295
 3616.3      0.0000126457
 3616.4      0.0000126619
 3616.5      0.0000126781
