# Liner spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000565133
 3600.1      0.0000563516
 3600.2      0.0000561945
 3600.3      0.0000560409
 3600.4      0.0000558917
 3600.5      0.0000557462
 3600.6      0.0000556045
 3600.7      0.0000554670
 3600.8      0.0000553330
 3600.9      0.0000552031
 3601.0      0.0000550766
 3601.1      0.0000549537
 3601.2      0.0000548349
 3601.3      0.0000547193
 3601.4      0.0000546076
 3601.5      0.0000544991
 3601.6      0.0000543940
 3601.7      0.0000542927
 3601.8      0.0000541945
 3601.9      0.0000540999
 3602.0      0.0000540083
 3602.1      0.0000539200
 3602.2      0.0000538351
 3602.3      0.0000537531
 3602.4      0.0000536745
 3602.5      0.0000535988
 3602.6      0.0000535261
 3602.7      0.0000534566
 3602.8      0.0000533899
 3602.9      0.0000533262
 3603.0      0.0000532652
 3603.1      0.0000532071
 3603.2      0.0000531519
 3603.3      0.0000530993
 3603.4      0.0000530494
 3603.5      0.0000530022
 3603.6      0.0000529575
 3603.7      0.0000529155
 3603.8      0.0000528759
 3603.9      0.0000528389
 3604.0      0.0000528042
 3604.1      0.0000527719
 3604.2      0.0000527420
 3604.3      0.0000527144
 3604.4      0.0000526891
 3604.5      0.0000526659
 3604.6      0.0000526449
 3604.7      0.0000526261
 3604.8      0.0000526093
 3604.9      0.0000525947
 3605.0      0.0000525819
 3605.1      0.0000525555
 3605.2      0.0000525321
 3605.3      0.0000525115
 3605.4      0.0000524939
 3605.5      0.0000524789
 3605.6      0.0000524667
 3605.7      0.0000524572
 3605.8      0.0000524502
 3605.9      0.0000524458
 3606.0      0.0000524438
 3606.1      0.0000524442
 3606.2      0.0000524469
 3606.3      0.0000524519
 3606.4      0.0000524591
 3606.5      0.0000524684
 3606.6      0.0000524797
 3606.7      0.0000524931
 3606.8      0.0000525084
 3606.9      0.0000525255
 3607.0      0.0000525445
 3607.1      0.0000525652
 3607.2      0.0000525875
 3607.3      0.0000526115
 3607.4      0.0000526369
 3607.5      0.0000526639
 3607.6      0.0000526923
 3607.7      0.0000527220
 3607.8      0.0000527530
 3607.9      0.0000527851
 3608.0      0.0000528185
 3608.1      0.0000528530
 3608.2      0.0000528884
 3608.3      0.0000529248
 3608.4      0.0000529620
 3608.5      0.0000530001
 3608.6      0.0000530390
 3608.7      0.0000530785
 3608.8      0.0000531187
 3608.9      0.0000531593
 3609.0      0.0000532006
 3609.1      0.0000532422
 3609.2      0.0000532842
 3609.3      0.0000533265
 3609.4      0.0000533689
 3609.5      0.0000534117
 3609.6      0.0000534545
 3609.7      0.0000534972
 3609.8      0.0000535400
 3609.9      0.0000535827
 3610.0      0.0000536252
 3610.1      0.0000536358
 3610.2      0.0000536460
 3610.3      0.0000536557
 3610.4      0.0000536651
 3610.5      0.0000536744
 3610.6      0.0000536836
 3610.7      0.0000536927
 3610.8      0.0000537021
 3610.9      0.0000537116
 3611.0      0.0000537214
 3611.1      0.0000537317
 3611.2      0.0000537425
 3611.3      0.0000537540
 3611.4      0.0000537661
 3611.5      0.0000537791
 3611.6      0.0000537931
 3611.7      0.0000538080
 3611.8      0.0000538242
 3611.9      0.0000538415
 3612.0      0.0000538603
 3612.1      0.0000538804
 3612.2      0.0000539021
 3612.3      0.0000539255
 3612.4      0.0000539506
 3612.5      0.0000539776
 3612.6      0.0000540066
 3612.7      0.0000540376
 3612.8      0.0000540708
 3612.9      0.0000541062
 3613.0      0.0000541441
 3613.1      0.0000541844
 3613.2      0.0000542272
 3613.3      0.0000542728
 3613.4      0.0000543211
 3613.5      0.0000543723
 3613.6      0.0000544266
 3613.7      0.0000544838
 3613.8      0.0000545443
 3613.9      0.0000546080
 3614.0      0.0000546752
 3614.1      0.0000547460
 3614.2      0.0000548201
 3614.3      0.0000548981
 3614.4      0.0000549798
 3614.5      0.0000550655
 3614.6      0.0000551553
 3614.7      0.0000552490
 3614.8      0.0000553471
 3614.9      0.0000554493
 3615.0      0.0000555561
 3615.1      0.0000556757
 3615.2      0.0000557996
 3615.3      0.0000559283
 3615.4      0.0000560610
 3615.5      0.0000561983
 3615.6      0.0000563397
 3615.7      0.0000564847
 3615.8      0.0000566339
 3615.9      0.0000567865
 3616.0      0.0000569431
 3616.1      0.0000571032
 3616.2      0.0000572663
 3616.3      0.0000574331
 3616.4      0.0000576025
 3616.5      0.0000577754
 3616.6      0.0000579512
 3616.7      0.0000581293
 3616.8      0.0000583105
 3616.9      0.0000584938
 3617.0      0.0000586799
 3617.1      0.0000588683
 3617.2      0.0000590584
 3617.3      0.0000592511
 3617.4      0.0000594451
 3617.5      0.0000596415
 3617.6      0.0000598395
 3617.7      0.0000600385
 3617.8      0.0000602395
 3617.9      0.0000604414
 3618.0      0.0000606448
 3618.1      0.0000608494
 3618.2      0.0000610544
 3618.3      0.0000612608
 3618.4      0.0000614673
 3618.5      0.0000616749
 3618.6      0.0000618830
 3618.7      0.0000620909
 3618.8      0.0000622995
 3618.9      0.0000625077
 3619.0      0.0000627164
 3619.1      0.0000629250
 3619.2      0.0000631327
 3619.3      0.0000633406
 3619.4      0.0000635475
 3619.5      0.0000637542
 3619.6      0.0000639602
 3619.7      0.0000641648
 3619.8      0.0000643689
 3619.9      0.0000645713
 3620.0      0.0000647731
 3620.1      0.0000649780
 3620.2      0.0000651835
 3620.3      0.0000653904
 3620.4      0.0000655976
 3620.5      0.0000658059
 3620.6      0.0000660148
 3620.7      0.0000662235
 3620.8      0.0000664331
 3620.9      0.0000666422
 3621.0      0.0000668518
 3621.1      0.0000670612
 3621.2      0.0000672699
 3621.3      0.0000674787
 3621.4      0.0000676864
 3621.5      0.0000678939
 3621.6      0.0000681006
 3621.7      0.0000683059
 3621.8      0.0000685105
 3621.9      0.0000687135
 3622.0      0.0000689156
 3622.1      0.0000691162
 3622.2      0.0000693147
 3622.3      0.0000695119
 3622.4      0.0000697067
 3622.5      0.0000699000
 3622.6      0.0000700912
 3622.7      0.0000702796
 3622.8      0.0000704660
 3622.9      0.0000706494
