# M2I spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000008932
 3600.1      0.0000008953
 3600.2      0.0000008974
 3600.3      0.0000008995
 3600.4      0.0000009016
 3600.5      0.0000009037
 3600.6      0.0000009058
 3600.7      0.0000009079
 3600.8      0.0000009100
 3600.9      0.0000009121
 3601.0      0.0000009142
 3601.1      0.0000009163
 3601.2      0.0000009183
 3601.3      0.0000009204
 3601.4      0.0000009225
 3601.5      0.0000009246
 3601.6      0.0000009267
 3601.7      0.0000009288
 3601.8      0.0000009309
 3601.9      0.0000009330
 3602.0      0.0000009351
 3602.1      0.0000009372
 3602.2      0.0000009393
 3602.3      0.0000009414
 3602.4      0.0000009435
 3602.5      0.0000009456
 3602.6      0.0000009477
 3602.7      0.0000009498
 3602.8      0.0000009519
 3602.9      0.0000009540
 3603.0      0.0000009561
 3603.1      0.0000009582
 3603.2      0.0000009603
 3603.3      0.0000009624
 3603.4      0.0000009645
 3603.5      0.0000009666
 3603.6      0.0000009686
 3603.7      0.0000009707
 3603.8      0.0000009728
 3603.9      0.0000009749
 3604.0      0.0000009770
 3604.1      0.0000009791
 3604.2      0.0000009812
 3604.3      0.0000009833
 3604.4      0.0000009854
 3604.5      0.0000009875
 3604.6      0.0000009896
 3604.7      0.0000009917
 3604.8      0.0000009938
 3604.9      0.0000009959
 3605.0      0.0000009980
 3605.1      0.0000010001
 3605.2      0.0000010021
 3605.3      0.0000010042
 3605.4      0.0000010063
 3605.5      0.0000010084
 3605.6      0.0000010105
 3605.7      0.0000010126
 3605.8      0.0000010147
 3605.9      0.0000010168
 3606.0      0.0000010189
 3606.1      0.0000010210
 3606.2      0.0000010231
 3606.3      0.0000010252
 3606.4      0.0000010272
 3606.5      0.0000010293
 3606.6      0.0000010314
 3606.7      0.0000010335
 3606.8      0.0000010356
 3606.9      0.0000010377
 3607.0      0.0000010398
 3607.1      0.0000010419
 3607.2      0.0000010440
 3607.3      0.0000010461
 3607.4      0.0000010481
 3607.5      0.0000010502
 3607.6      0.0000010523
 3607.7      0.0000010544
 3607.8      0.0000010565
 3607.9      0.0000010586
 3608.0      0.0000010607
 3608.1      0.0000010628
 3608.2      0.0000010649
 3608.3      0.0000010670
 3608.4      0.0000010690
 3608.5      0.0000010711
 3608.6      0.0000010732
 3608.7      0.0000010753
 3608.8      0.0000010774
 3608.9      0.0000010795
 3609.0      0.0000010816
 3609.1      0.0000010835
 3609.2      0.0000010854
 3609.3      0.0000010873
 3609.4      0.0000010892
 3609.5      0.0000010911
 3609.6      0.0000010932
 3609.7      0.0000010953
 3609.8      0.0000010975
 3609.9      0.0000010999
 3610.0      0.0000011025
 3610.1      0.0000011053
 3610.2      0.0000011082
 3610.3      0.0000011113
 3610.4      0.0000011145
 3610.5      0.0000011178
 3610.6      0.0000011212
 3610.7      0.0000011246
 3610.8      0.0000011281
 3610.9      0.0000011315
 3611.0      0.0000011350
 3611.1      0.0000011382
 3611.2      0.0000011415
 3611.3      0.0000011447
 3611.4      0.0000011480
 3611.5      0.0000011512
 3611.6      0.0000011545
 3611.7      0.0000011577
 3611.8      0.0000011610
 3611.9      0.0000011642
 3612.0      0.0000011675
 3612.1      0.0000011707
 3612.2      0.0000011740
 3612.3      0.0000011772
 3612.4      0.0000011805
 3612.5      0.0000011837
 3612.6      0.0000011870
 3612.7      0.0000011902
 3612.8      0.0000011935
 3612.9      0.0000011967
 3613.0      0.0000012000
 3613.1      0.0000012032
 3613.2      0.0000012065
 3613.3      0.0000012097
 3613.4      0.0000012130
 3613.5      0.0000012162
 3613.6      0.0000012195
 3613.7      0.0000012227
 3613.8      0.0000012259
 3613.9      0.0000012292
 3614.0      0.0000012324
 3614.1      0.0000012357
 3614.2      0.0000012389
 3614.3      0.0000012422
 3614.4      0.0000012454
 3614.5      0.0000012487
 3614.6      0.0000012519
 3614.7      0.0000012552
 3614.8      0.0000012584
 3614.9      0.0000012616
 3615.0      0.0000012649
 3615.1      0.0000012681
 3615.2      0.0000012714
 3615.3      0.0000012746
 3615.4      0.0000012778
 3615.5      0.0000012811
 3615.6      0.0000012843
 3615.7      0.0000012876
 3615.8      0.0000012908
 3615.9      0.0000012941
 3616.0      0.0000012973
 3616.1      0.0000013006
 3616.2      0.0000013038
 3616.3      0.0000013070
 3616.4      0.0000013103
 3616.5      0.0000013135
 3616.6      0.0000013168
 3616.7      0.0000013200
 3616.8      0.0000013232
 3616.9      0.0000013265
 3617.0      0.0000013297
 3617.1      0.0000013330
 3617.2      0.0000013362
 3617.3      0.0000013395
 3617.4      0.0000013427
 3617.5      0.0000013459
 3617.6      0.0000013492
 3617.7      0.0000013524
 3617.8      0.0000013556
 3617.9      0.0000013589
 3618.0      0.0000013621
 3618.1      0.0000013654
 3618.2      0.0000013686
 3618.3      0.0000013718
 3618.4      0.0000013751
 3618.5      0.0000013783
 3618.6      0.0000013816
 3618.7      0.0000013848
 3618.8      0.0000013880
 3618.9      0.0000013913
 3619.0      0.0000013945
 3619.1      0.0000013977
 3619.2      0.0000014010
 3619.3      0.0000014042
 3619.4      0.0000014074
 3619.5      0.0000014107
 3619.6      0.0000014139
 3619.7      0.0000014172
 3619.8      0.0000014204
 3619.9      0.0000014236
 3620.0      0.0000014269
 3620.1      0.0000014301
 3620.2      0.0000014333
 3620.3      0.0000014366
 3620.4      0.0000014398
 3620.5      0.0000014430
 3620.6      0.0000014463
 3620.7      0.0000014495
 3620.8      0.0000014527
 3620.9      0.0000014560
 3621.0      0.0000014592
 3621.1      0.0000014624
 3621.2      0.0000014657
 3621.3      0.0000014689
 3621.4      0.0000014721
 3621.5      0.0000014754
 3621.6      0.0000014786
 3621.7      0.0000014818
 3621.8      0.0000014851
 3621.9      0.0000014883
 3622.0      0.0000014915
 3622.1      0.0000014948
 3622.2      0.0000014980
 3622.3      0.0000015012
 3622.4      0.0000015045
 3622.5      0.0000015077
 3622.6      0.0000015109
 3622.7      0.0000015141
 3622.8      0.0000015174
 3622.9      0.0000015206
 3623.0      0.0000015238
 3623.1      0.0000015271
 3623.2      0.0000015303
 3623.3      0.0000015335
 3623.4      0.0000015368
 3623.5      0.0000015400
 3623.6      0.0000015432
 3623.7      0.0000015464
 3623.8      0.0000015497
 3623.9      0.0000015529
 3624.0      0.0000015561
 3624.1      0.0000015594
 3624.2      0.0000015626
 3624.3      0.0000015658
 3624.4      0.0000015690
 3624.5      0.0000015723
 3624.6      0.0000015755
 3624.7      0.0000015787
 3624.8      0.0000015819
 3624.9      0.0000015852
 3625.0      0.0000015884
 3625.1      0.0000015916
 3625.2      0.0000015948
 3625.3      0.0000015981
 3625.4      0.0000016013
 3625.5      0.0000016045
 3625.6      0.0000016078
 3625.7      0.0000016110
 3625.8      0.0000016142
 3625.9      0.0000016174
 3626.0      0.0000016207
 3626.1      0.0000016239
 3626.2      0.0000016271
 3626.3      0.0000016303
 3626.4      0.0000016335
 3626.5      0.0000016368
 3626.6      0.0000016400
 3626.7      0.0000016432
 3626.8      0.0000016464
 3626.9      0.0000016497
 3627.0      0.0000016529
 3627.1      0.0000016561
 3627.2      0.0000016593
 3627.3      0.0000016626
 3627.4      0.0000016658
 3627.5      0.0000016690
 3627.6      0.0000016722
 3627.7      0.0000016754
 3627.8      0.0000016787
 3627.9      0.0000016819
 3628.0      0.0000016851
 3628.1      0.0000016883
 3628.2      0.0000016915
 3628.3      0.0000016948
 3628.4      0.0000016980
 3628.5      0.0000017012
 3628.6      0.0000017044
 3628.7      0.0000017076
 3628.8      0.0000017109
 3628.9      0.0000017141
 3629.0      0.0000017173
 3629.1      0.0000017205
 3629.2      0.0000017238
 3629.3      0.0000017270
 3629.4      0.0000017302
 3629.5      0.0000017335
 3629.6      0.0000017367
 3629.7      0.0000017399
 3629.8      0.0000017431
 3629.9      0.0000017463
 3630.0      0.0000017495
 3630.1      0.0000017527
 3630.2      0.0000017558
 3630.3      0.0000017589
 3630.4      0.0000017620
 3630.5      0.0000017651
 3630.6      0.0000017682
 3630.7      0.0000017713
 3630.8      0.0000017744
 3630.9      0.0000017775
 3631.0      0.0000017806
 3631.1      0.0000017837
 3631.2      0.0000017868
 3631.3      0.0000017899
 3631.4      0.0000017930
 3631.5      0.0000017961
 3631.6      0.0000017992
 3631.7      0.0000018024
 3631.8      0.0000018055
 3631.9      0.0000018086
 3632.0      0.0000018117
 3632.1      0.0000018148
 3632.2      0.0000018179
 3632.3      0.0000018210
 3632.4      0.0000018241
 3632.5      0.0000018272
 3632.6      0.0000018303
 3632.7      0.0000018334
 3632.8      0.0000018365
 3632.9      0.0000018396
 3633.0      0.0000018427
 3633.1      0.0000018459
 3633.2      0.0000018490
 3633.3      0.0000018521
 3633.4      0.0000018552
 3633.5      0.0000018583
 3633.6      0.0000018614
 3633.7      0.0000018645
 3633.8      0.0000018676
 3633.9      0.0000018707
 3634.0      0.0000018738
 3634.1      0.0000018769
 3634.2      0.0000018800
 3634.3      0.0000018831
 3634.4      0.0000018862
 3634.5      0.0000018893
 3634.6      0.0000018924
 3634.7      0.0000018955
 3634.8      0.0000018986
 3634.9      0.0000019017
 3635.0      0.0000019048
 3635.1      0.0000019079
 3635.2      0.0000019110
 3635.3      0.0000019141
 3635.4      0.0000019172
 3635.5      0.0000019203
 3635.6      0.0000019234
 3635.7      0.0000019265
 3635.8      0.0000019296
 3635.9      0.0000019327
 3636.0      0.0000019358
 3636.1      0.0000019390
 3636.2      0.0000019421
 3636.3      0.0000019452
 3636.4      0.0000019483
 3636.5      0.0000019514
 3636.6      0.0000019545
 3636.7      0.0000019576
 3636.8      0.0000019607
 3636.9      0.0000019638
 3637.0      0.0000019669
 3637.1      0.0000019700
 3637.2      0.0000019731
 3637.3      0.0000019762
 3637.4      0.0000019792
 3637.5      0.0000019823
 3637.6      0.0000019854
 3637.7      0.0000019885
 3637.8      0.0000019916
 3637.9      0.0000019947
 3638.0      0.0000019978
 3638.1      0.0000020009
 3638.2      0.0000020040
 3638.3      0.0000020071
 3638.4      0.0000020102
 3638.5      0.0000020133
 3638.6      0.0000020164
 3638.7      0.0000020195
 3638.8      0.0000020226
 3638.9      0.0000020257
 3639.0      0.0000020288
 3639.1      0.0000020324
 3639.2      0.0000020360
 3639.3      0.0000020396
 3639.4      0.0000020432
 3639.5      0.0000020467
 3639.6      0.0000020499
 3639.7      0.0000020529
 3639.8      0.0000020556
 3639.9      0.0000020579
 3640.0      0.0000020597
 3640.1      0.0000020609
 3640.2      0.0000020616
 3640.3      0.0000020619
 3640.4      0.0000020619
 3640.5      0.0000020617
 3640.6      0.0000020613
 3640.7      0.0000020607
 3640.8      0.0000020601
 3640.9      0.0000020594
 3641.0      0.0000020589
 3641.1      0.0000020588
 3641.2      0.0000020587
 3641.3      0.0000020586
 3641.4      0.0000020585
 3641.5      0.0000020584
 3641.6      0.0000020584
 3641.7      0.0000020583
 3641.8      0.0000020582
 3641.9      0.0000020581
 3642.0      0.0000020580
 3642.1      0.0000020579
 3642.2      0.0000020578
 3642.3      0.0000020578
 3642.4      0.0000020577
 3642.5      0.0000020576
 3642.6      0.0000020575
 3642.7      0.0000020574
 3642.8      0.0000020573
 3642.9      0.0000020572
 3643.0      0.0000020571
 3643.1      0.0000020571
 3643.2      0.0000020570
 3643.3      0.0000020569
 3643.4      0.0000020568
 3643.5      0.0000020567
 3643.6      0.0000020566
 3643.7      0.0000020565
 3643.8      0.0000020565
 3643.9      0.0000020564
 3644.0      0.0000020563
 3644.1      0.0000020562
 3644.2      0.0000020561
 3644.3      0.0000020560
 3644.4      0.0000020559
 3644.5      0.0000020559
 3644.6      0.0000020558
 3644.7      0.0000020557
 3644.8      0.0000020556
 3644.9      0.0000020555
 3645.0      0.0000020554
 3645.1      0.0000020553
 3645.2      0.0000020552
 3645.3      0.0000020552
 3645.4      0.0000020551
 3645.5      0.0000020550
 3645.6      0.0000020549
 3645.7      0.0000020548
 3645.8      0.0000020547
 3645.9      0.0000020546
 3646.0      0.0000020546
 3646.1      0.0000020545
 3646.2      0.0000020544
 3646.3      0.0000020543
 3646.4      0.0000020542
 3646.5      0.0000020541
 3646.6      0.0000020540
 3646.7      0.0000020540
 3646.8      0.0000020539
 3646.9      0.0000020538
 3647.0      0.0000020537
 3647.1      0.0000020536
 3647.2      0.0000020535
 3647.3      0.0000020534
 3647.4      0.0000020533
 3647.5      0.0000020533
 3647.6      0.0000020532
 3647.7      0.0000020531
 3647.8      0.0000020530
 3647.9      0.0000020529
 3648.0      0.0000020528
 3648.1      0.0000020527
 3648.2      0.0000020527
 3648.3      0.0000020526
 3648.4      0.0000020525
 3648.5      0.0000020524
 3648.6      0.0000020523
 3648.7      0.0000020522
 3648.8      0.0000020521
 3648.9      0.0000020520
 3649.0      0.0000020520
 3649.1      0.0000020511
 3649.2      0.0000020500
 3649.3      0.0000020490
 3649.4      0.0000020481
 3649.5      0.0000020474
 3649.6      0.0000020471
 3649.7      0.0000020471
 3649.8      0.0000020478
 3649.9      0.0000020490
 3650.0      0.0000020511
 3650.1      0.0000020544
 3650.2      0.0000020584
 3650.3      0.0000020631
 3650.4      0.0000020683
 3650.5      0.0000020740
 3650.6      0.0000020800
 3650.7      0.0000020862
 3650.8      0.0000020926
 3650.9      0.0000020989
 3651.0      0.0000021051
 3651.1      0.0000021105
 3651.2      0.0000021159
 3651.3      0.0000021213
 3651.4      0.0000021267
 3651.5      0.0000021321
 3651.6      0.0000021375
 3651.7      0.0000021429
 3651.8      0.0000021483
 3651.9      0.0000021537
 3652.0      0.0000021591
 3652.1      0.0000021645
 3652.2      0.0000021699
 3652.3      0.0000021753
 3652.4      0.0000021806
 3652.5      0.0000021860
 3652.6      0.0000021914
 3652.7      0.0000021968
 3652.8      0.0000022022
 3652.9      0.0000022076
 3653.0      0.0000022130
 3653.1      0.0000022184
 3653.2      0.0000022238
 3653.3      0.0000022292
 3653.4      0.0000022346
 3653.5      0.0000022400
 3653.6      0.0000022454
 3653.7      0.0000022508
 3653.8      0.0000022561
 3653.9      0.0000022615
 3654.0      0.0000022669
 3654.1      0.0000022723
 3654.2      0.0000022777
 3654.3      0.0000022831
 3654.4      0.0000022885
 3654.5      0.0000022939
 3654.6      0.0000022993
 3654.7      0.0000023046
 3654.8      0.0000023100
 3654.9      0.0000023154
 3655.0      0.0000023208
 3655.1      0.0000023262
 3655.2      0.0000023316
