# M2V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000055380
 3600.1      0.0000055504
 3600.2      0.0000055629
 3600.3      0.0000055753
 3600.4      0.0000055878
 3600.5      0.0000056002
 3600.6      0.0000056127
 3600.7      0.0000056251
 3600.8      0.0000056376
 3600.9      0.0000056500
 3601.0      0.0000056624
 3601.1      0.0000056749
 3601.2      0.0000056873
 3601.3      0.0000056998
 3601.4      0.0000057122
 3601.5      0.0000057247
 3601.6      0.0000057371
 3601.7      0.0000057495
 3601.8      0.0000057620
 3601.9      0.0000057744
 3602.0      0.0000057868
 3602.1      0.0000057993
 3602.2      0.0000058117
 3602.3      0.0000058241
 3602.4      0.0000058366
 3602.5      0.0000058490
 3602.6      0.0000058614
 3602.7      0.0000058739
 3602.8      0.0000058863
 3602.9      0.0000058987
 3603.0      0.0000059111
 3603.1      0.0000059236
 3603.2      0.0000059360
 3603.3      0.0000059484
 3603.4      0.0000059608
 3603.5      0.0000059733
 3603.6      0.0000059857
 3603.7      0.0000059981
 3603.8      0.0000060105
 3603.9      0.0000060229
 3604.0      0.0000060354
 3604.1      0.0000060478
 3604.2      0.0000060602
 3604.3      0.0000060727
 3604.4      0.0000060851
 3604.5      0.0000060975
 3604.6      0.0000061099
 3604.7      0.0000061223
 3604.8      0.0000061348
 3604.9      0.0000061472
 3605.0      0.0000061596
 3605.1      0.0000061720
 3605.2      0.0000061844
 3605.3      0.0000061968
 3605.4      0.0000062092
 3605.5      0.0000062217
 3605.6      0.0000062341
 3605.7      0.0000062465
 3605.8      0.0000062589
 3605.9      0.0000062713
 3606.0      0.0000062837
 3606.1      0.0000062961
 3606.2      0.0000063085
 3606.3      0.0000063209
 3606.4      0.0000063333
 3606.5      0.0000063457
 3606.6      0.0000063581
 3606.7      0.0000063705
 3606.8      0.0000063829
 3606.9      0.0000063953
 3607.0      0.0000064077
 3607.1      0.0000064201
 3607.2      0.0000064325
 3607.3      0.0000064449
 3607.4      0.0000064573
 3607.5      0.0000064697
 3607.6      0.0000064821
 3607.7      0.0000064945
 3607.8      0.0000065069
 3607.9      0.0000065193
 3608.0      0.0000065317
 3608.1      0.0000065441
 3608.2      0.0000065565
 3608.3      0.0000065689
 3608.4      0.0000065812
 3608.5      0.0000065936
 3608.6      0.0000066060
 3608.7      0.0000066184
 3608.8      0.0000066308
 3608.9      0.0000066432
 3609.0      0.0000066556
 3609.1      0.0000066682
 3609.2      0.0000066808
 3609.3      0.0000066934
 3609.4      0.0000067060
 3609.5      0.0000067185
 3609.6      0.0000067310
 3609.7      0.0000067433
 3609.8      0.0000067555
 3609.9      0.0000067675
 3610.0      0.0000067794
 3610.1      0.0000067910
 3610.2      0.0000068023
 3610.3      0.0000068135
 3610.4      0.0000068246
 3610.5      0.0000068356
 3610.6      0.0000068465
 3610.7      0.0000068573
 3610.8      0.0000068681
 3610.9      0.0000068789
 3611.0      0.0000068897
 3611.1      0.0000069008
 3611.2      0.0000069118
 3611.3      0.0000069228
 3611.4      0.0000069338
 3611.5      0.0000069449
 3611.6      0.0000069559
 3611.7      0.0000069669
 3611.8      0.0000069779
 3611.9      0.0000069889
 3612.0      0.0000070000
 3612.1      0.0000070110
 3612.2      0.0000070220
 3612.3      0.0000070330
 3612.4      0.0000070440
 3612.5      0.0000070551
 3612.6      0.0000070661
 3612.7      0.0000070771
 3612.8      0.0000070881
 3612.9      0.0000070991
 3613.0      0.0000071101
 3613.1      0.0000071212
 3613.2      0.0000071322
 3613.3      0.0000071432
 3613.4      0.0000071542
 3613.5      0.0000071652
 3613.6      0.0000071762
 3613.7      0.0000071872
 3613.8      0.0000071983
 3613.9      0.0000072093
 3614.0      0.0000072203
 3614.1      0.0000072313
 3614.2      0.0000072423
 3614.3      0.0000072533
 3614.4      0.0000072643
 3614.5      0.0000072753
 3614.6      0.0000072863
 3614.7      0.0000072973
 3614.8      0.0000073083
 3614.9      0.0000073193
 3615.0      0.0000073303
 3615.1      0.0000073413
 3615.2      0.0000073523
 3615.3      0.0000073633
 3615.4      0.0000073743
 3615.5      0.0000073853
 3615.6      0.0000073963
 3615.7      0.0000074073
 3615.8      0.0000074183
 3615.9      0.0000074293
