# NGC1068 spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000603338
 3600.1      0.0000603566
 3600.2      0.0000603794
 3600.3      0.0000604023
 3600.4      0.0000604251
 3600.5      0.0000604480
 3600.6      0.0000604708
 3600.7      0.0000604936
 3600.8      0.0000605165
 3600.9      0.0000605393
 3601.0      0.0000605621
 3601.1      0.0000605850
 3601.2      0.0000606078
 3601.3      0.0000606306
 3601.4      0.0000606534
 3601.5      0.0000606763
 3601.6      0.0000606991
 3601.7      0.0000607219
 3601.8      0.0000607448
 3601.9      0.0000607676
 3602.0      0.0000607904
 3602.1      0.0000608133
 3602.2      0.0000608361
 3602.3      0.0000608589
 3602.4      0.0000608817
 3602.5      0.0000609046
 3602.6      0.0000609275
 3602.7      0.0000609503
 3602.8      0.0000609731
 3602.9      0.0000609959
 3603.0      0.0000610188
 3603.1      0.0000610415
 3603.2      0.0000610643
 3603.3      0.0000610870
 3603.4      0.0000611097
 3603.5      0.0000611325
 3603.6      0.0000611553
 3603.7      0.0000611781
 3603.8      0.0000612010
 3603.9      0.0000612238
 3604.0      0.0000612467
 3604.1      0.0000612695
 3604.2      0.0000612923
 3604.3      0.0000613152
 3604.4      0.0000613380
 3604.5      0.0000613608
 3604.6      0.0000613837
 3604.7      0.0000614065
 3604.8      0.0000614293
 3604.9      0.0000614521
 3605.0      0.0000614750
 3605.1      0.0000614978
 3605.2      0.0000615206
 3605.3      0.0000615435
 3605.4      0.0000615663
 3605.5      0.0000615891
 3605.6      0.0000616120
 3605.7      0.0000616348
 3605.8      0.0000616576
 3605.9      0.0000616804
 3606.0      0.0000617033
 3606.1      0.0000617262
 3606.2      0.0000617490
 3606.3      0.0000617718
 3606.4      0.0000617946
 3606.5      0.0000618175
 3606.6      0.0000618402
 3606.7      0.0000618629
 3606.8      0.0000618857
 3606.9      0.0000619084
 3607.0      0.0000619312
 3607.1      0.0000619540
 3607.2      0.0000619768
 3607.3      0.0000619997
 3607.4      0.0000620225
 3607.5      0.0000620454
 3607.6      0.0000620682
 3607.7      0.0000620910
 3607.8      0.0000621139
 3607.9      0.0000621367
 3608.0      0.0000621595
 3608.1      0.0000621824
 3608.2      0.0000622052
 3608.3      0.0000622281
 3608.4      0.0000622509
 3608.5      0.0000622737
 3608.6      0.0000622965
 3608.7      0.0000623192
