# O7V spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000390352
 3600.1      0.0000390309
 3600.2      0.0000390266
 3600.3      0.0000390224
 3600.4      0.0000390181
 3600.5      0.0000390138
 3600.6      0.0000390095
 3600.7      0.0000390053
 3600.8      0.0000390010
 3600.9      0.0000389967
 3601.0      0.0000389925
 3601.1      0.0000389882
 3601.2      0.0000389839
 3601.3      0.0000389797
 3601.4      0.0000389754
 3601.5      0.0000389712
 3601.6      0.0000389669
 3601.7      0.0000389627
 3601.8      0.0000389584
 3601.9      0.0000389542
 3602.0      0.0000389499
 3602.1      0.0000389457
 3602.2      0.0000389414
 3602.3      0.0000389371
 3602.4      0.0000389329
 3602.5      0.0000389286
 3602.6      0.0000389244
 3602.7      0.0000389201
 3602.8      0.0000389158
 3602.9      0.0000389116
 3603.0      0.0000389073
 3603.1      0.0000389030
 3603.2      0.0000388987
 3603.3      0.0000388945
 3603.4      0.0000388902
 3603.5      0.0000388859
 3603.6      0.0000388816
 3603.7      0.0000388774
 3603.8      0.0000388731
 3603.9      0.0000388688
 3604.0      0.0000388646
 3604.1      0.0000388603
 3604.2      0.0000388560
 3604.3      0.0000388518
 3604.4      0.0000388475
 3604.5      0.0000388433
 3604.6      0.0000388390
 3604.7      0.0000388348
 3604.8      0.0000388305
 3604.9      0.0000388263
 3605.0      0.0000388220
 3605.1      0.0000388178
 3605.2      0.0000388135
 3605.3      0.0000388092
 3605.4      0.0000388050
 3605.5      0.0000388007
 3605.6      0.0000387965
 3605.7      0.0000387922
 3605.8      0.0000387879
 3605.9      0.0000387837
 3606.0      0.0000387794
 3606.1      0.0000387752
 3606.2      0.0000387709
 3606.3      0.0000387666
 3606.4      0.0000387624
 3606.5      0.0000387581
 3606.6      0.0000387539
 3606.7      0.0000387496
 3606.8      0.0000387453
 3606.9      0.0000387411
 3607.0      0.0000387368
 3607.1      0.0000387326
 3607.2      0.0000387284
 3607.3      0.0000387241
 3607.4      0.0000387199
 3607.5      0.0000387156
 3607.6      0.0000387114
 3607.7      0.0000387072
 3607.8      0.0000387029
 3607.9      0.0000386987
 3608.0      0.0000386945
 3608.1      0.0000386902
 3608.2      0.0000386860
 3608.3      0.0000386817
 3608.4      0.0000386774
 3608.5      0.0000386732
 3608.6      0.0000386689
 3608.7      0.0000386647
 3608.8      0.0000386604
 3608.9      0.0000386562
 3609.0      0.0000386520
 3609.1      0.0000386477
 3609.2      0.0000386435
 3609.3      0.0000386392
 3609.4      0.0000386350
 3609.5      0.0000386308
 3609.6      0.0000386266
 3609.7      0.0000386224
 3609.8      0.0000386183
 3609.9      0.0000386142
 3610.0      0.0000386101
 3610.1      0.0000386061
 3610.2      0.0000386021
 3610.3      0.0000385982
 3610.4      0.0000385943
 3610.5      0.0000385904
 3610.6      0.0000385866
 3610.7      0.0000385828
 3610.8      0.0000385789
 3610.9      0.0000385751
 3611.0      0.0000385713
 3611.1      0.0000385675
 3611.2      0.0000385636
 3611.3      0.0000385598
 3611.4      0.0000385560
 3611.5      0.0000385521
 3611.6      0.0000385483
 3611.7      0.0000385445
 3611.8      0.0000385407
 3611.9      0.0000385369
 3612.0      0.0000385331
 3612.1      0.0000385293
 3612.2      0.0000385255
 3612.3      0.0000385217
 3612.4      0.0000385179
 3612.5      0.0000385141
 3612.6      0.0000385103
 3612.7      0.0000385066
 3612.8      0.0000385028
 3612.9      0.0000384990
 3613.0      0.0000384952
 3613.1      0.0000384914
 3613.2      0.0000384876
 3613.3      0.0000384838
 3613.4      0.0000384800
 3613.5      0.0000384761
 3613.6      0.0000384723
 3613.7      0.0000384685
 3613.8      0.0000384647
 3613.9      0.0000384609
 3614.0      0.0000384571
 3614.1      0.0000384532
 3614.2      0.0000384494
 3614.3      0.0000384456
 3614.4      0.0000384418
 3614.5      0.0000384380
 3614.6      0.0000384342
 3614.7      0.0000384304
 3614.8      0.0000384266
 3614.9      0.0000384228
 3615.0      0.0000384190
 3615.1      0.0000384152
 3615.2      0.0000384114
 3615.3      0.0000384076
 3615.4      0.0000384038
 3615.5      0.0000384000
 3615.6      0.0000383962
 3615.7      0.0000383924
 3615.8      0.0000383887
 3615.9      0.0000383849
 3616.0      0.0000383811
 3616.1      0.0000383773
 3616.2      0.0000383735
 3616.3      0.0000383697
 3616.4      0.0000383659
 3616.5      0.0000383621
 3616.6      0.0000383583
 3616.7      0.0000383545
 3616.8      0.0000383507
 3616.9      0.0000383469
 3617.0      0.0000383431
 3617.1      0.0000383393
 3617.2      0.0000383354
 3617.3      0.0000383316
 3617.4      0.0000383278
 3617.5      0.0000383240
 3617.6      0.0000383202
 3617.7      0.0000383164
 3617.8      0.0000383126
 3617.9      0.0000383088
 3618.0      0.0000383050
 3618.1      0.0000383012
 3618.2      0.0000382974
 3618.3      0.0000382936
 3618.4      0.0000382898
 3618.5      0.0000382860
 3618.6      0.0000382822
 3618.7      0.0000382784
