# Orion spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000607928
 3600.1      0.0000607901
 3600.2      0.0000607875
 3600.3      0.0000607849
 3600.4      0.0000607823
 3600.5      0.0000607796
 3600.6      0.0000607769
 3600.7      0.0000607742
 3600.8      0.0000607715
 3600.9      0.0000607688
 3601.0      0.0000607662
 3601.1      0.0000607636
 3601.2      0.0000607610
 3601.3      0.0000607585
 3601.4      0.0000607559
 3601.5      0.0000607533
 3601.6      0.0000607507
 3601.7      0.0000607480
 3601.8      0.0000607453
 3601.9      0.0000607426
 3602.0      0.0000607399
 3602.1      0.0000607372
 3602.2      0.0000607346
 3602.3      0.0000607320
 3602.4      0.0000607294
 3602.5      0.0000607267
 3602.6      0.0000607241
 3602.7      0.0000607215
 3602.8      0.0000607189
 3602.9      0.0000607162
 3603.0      0.0000607136
 3603.1      0.0000607110
 3603.2      0.0000607083
 3603.3      0.0000607057
 3603.4      0.0000607031
 3603.5      0.0000607005
 3603.6      0.0000606978
 3603.7      0.0000606952
 3603.8      0.0000606926
 3603.9      0.0000606899
 3604.0      0.0000606873
 3604.1      0.0000606847
 3604.2      0.0000606821
 3604.3      0.0000606794
 3604.4      0.0000606768
 3604.5      0.0000606742
 3604.6      0.0000606715
 3604.7      0.0000606689
 3604.8      0.0000606663
 3604.9      0.0000606637
 3605.0      0.0000606610
 3605.1      0.0000606584
 3605.2      0.0000606558
 3605.3      0.0000606531
 3605.4      0.0000606505
 3605.5      0.0000606479
 3605.6      0.0000606453
 3605.7      0.0000606426
 3605.8      0.0000606400
 3605.9      0.0000606374
 3606.0      0.0000606348
 3606.1      0.0000606321
 3606.2      0.0000606295
 3606.3      0.0000606269
 3606.4      0.0000606242
 3606.5      0.0000606216
 3606.6      0.0000606190
 3606.7      0.0000606164
 3606.8      0.0000606137
 3606.9      0.0000606111
 3607.0      0.0000606085
 3607.1      0.0000606058
 3607.2      0.0000606032
 3607.3      0.0000606006
 3607.4      0.0000605980
 3607.5      0.0000605953
 3607.6      0.0000605927
 3607.7      0.0000605901
 3607.8      0.0000605874
 3607.9      0.0000605848
 3608.0      0.0000605822
 3608.1      0.0000605795
 3608.2      0.0000605769
 3608.3      0.0000605743
 3608.4      0.0000605717
 3608.5      0.0000605690
 3608.6      0.0000605664
 3608.7      0.0000605638
 3608.8      0.0000605612
 3608.9      0.0000605585
 3609.0      0.0000605559
 3609.1      0.0000605532
 3609.2      0.0000605505
 3609.3      0.0000605478
 3609.4      0.0000605451
 3609.5      0.0000605425
 3609.6      0.0000605398
 3609.7      0.0000605371
 3609.8      0.0000605345
 3609.9      0.0000605319
 3610.0      0.0000605293
 3610.1      0.0000605268
 3610.2      0.0000605243
 3610.3      0.0000605217
 3610.4      0.0000605193
 3610.5      0.0000605168
 3610.6      0.0000605143
 3610.7      0.0000605118
 3610.8      0.0000605093
 3610.9      0.0000605068
 3611.0      0.0000605042
 3611.1      0.0000605017
 3611.2      0.0000604992
 3611.3      0.0000604967
 3611.4      0.0000604941
 3611.5      0.0000604914
 3611.6      0.0000604886
 3611.7      0.0000604857
 3611.8      0.0000604827
 3611.9      0.0000604799
 3612.0      0.0000604771
 3612.1      0.0000604744
 3612.2      0.0000604719
 3612.3      0.0000604694
 3612.4      0.0000604670
 3612.5      0.0000604645
 3612.6      0.0000587065
 3612.7      0.0000569530
 3612.8      0.0000560729
 3612.9      0.0000569453
 3613.0      0.0000604520
 3613.1      0.0000714219
 3613.2      0.0000849906
 3613.3      0.0000985915
 3613.4      0.0001095343
 3613.5      0.0001152395
 3613.6      0.0001095292
 3613.7      0.0000985814
 3613.8      0.0000849753
 3613.9      0.0000714016
 3614.0      0.0000604266
 3614.1      0.0000569148
 3614.2      0.0000560374
 3614.3      0.0000569124
 3614.4      0.0000586608
 3614.5      0.0000604137
 3614.6      0.0000604111
 3614.7      0.0000604086
 3614.8      0.0000604060
