# PN spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000858076
 3600.1      0.0000858088
 3600.2      0.0000858099
 3600.3      0.0000858110
 3600.4      0.0000858121
 3600.5      0.0000858133
 3600.6      0.0000858145
 3600.7      0.0000858158
 3600.8      0.0000858171
 3600.9      0.0000858184
 3601.0      0.0000858197
 3601.1      0.0000858210
 3601.2      0.0000858223
 3601.3      0.0000858236
 3601.4      0.0000858248
 3601.5      0.0000858261
 3601.6      0.0000858272
 3601.7      0.0000858284
 3601.8      0.0000858295
 3601.9      0.0000858306
 3602.0      0.0000858318
 3602.1      0.0000858330
 3602.2      0.0000858343
 3602.3      0.0000858356
 3602.4      0.0000858369
 3602.5      0.0000858381
 3602.6      0.0000858393
 3602.7      0.0000858404
 3602.8      0.0000858415
 3602.9      0.0000858427
 3603.0      0.0000858438
 3603.1      0.0000858451
 3603.2      0.0000858463
 3603.3      0.0000858476
 3603.4      0.0000858489
 3603.5      0.0000858502
 3603.6      0.0000858515
 3603.7      0.0000858528
 3603.8      0.0000858541
 3603.9      0.0000858554
 3604.0      0.0000858566
 3604.1      0.0000858578
 3604.2      0.0000858589
 3604.3      0.0000858600
 3604.4      0.0000858611
 3604.5      0.0000858623
 3604.6      0.0000858635
 3604.7      0.0000858648
 3604.8      0.0000858661
 3604.9      0.0000858674
 3605.0      0.0000858687
 3605.1      0.0000858698
 3605.2      0.0000858709
 3605.3      0.0000858721
 3605.4      0.0000858732
 3605.5      0.0000858743
 3605.6      0.0000858756
 3605.7      0.0000858768
 3605.8      0.0000858781
 3605.9      0.0000858794
 3606.0      0.0000858807
 3606.1      0.0000858820
 3606.2      0.0000858833
 3606.3      0.0000858846
 3606.4      0.0000858859
 3606.5      0.0000858871
 3606.6      0.0000858883
 3606.7      0.0000858894
 3606.8      0.0000858905
 3606.9      0.0000858916
 3607.0      0.0000858928
 3607.1      0.0000858940
 3607.2      0.0000858953
 3607.3      0.0000858966
 3607.4      0.0000858979
 3607.5      0.0000858992
 3607.6      0.0000859005
 3607.7      0.0000859018
 3607.8      0.0000859031
 3607.9      0.0000859043
 3608.0      0.0000859056
 3608.1      0.0000859067
 3608.2      0.0000859078
 3608.3      0.0000859090
 3608.4      0.0000859101
 3608.5      0.0000859112
 3608.6      0.0000859125
 3608.7      0.0000859137
 3608.8      0.0000859150
 3608.9      0.0000859163
 3609.0      0.0000859176
 3609.1      0.0000859189
 3609.2      0.0000859202
 3609.3      0.0000859215
 3609.4      0.0000859228
 3609.5      0.0000859240
 3609.6      0.0000859252
 3609.7      0.0000859263
 3609.8      0.0000859274
 3609.9      0.0000859285
 3610.0      0.0000859297
 3610.1      0.0000859309
 3610.2      0.0000859322
 3610.3      0.0000859335
 3610.4      0.0000859348
 3610.5      0.0000859361
 3610.6      0.0000859374
 3610.7      0.0000859387
 3610.8      0.0000859400
 3610.9      0.0000859412
 3611.0      0.0000859425
 3611.1      0.0000859437
 3611.2      0.0000859449
 3611.3      0.0000859461
 3611.4      0.0000859472
 3611.5      0.0000859481
 3611.6      0.0000859489
 3611.7      0.0000859496
 3611.8      0.0000859502
 3611.9      0.0000859509
 3612.0      0.0000859517
 3612.1      0.0000858789
 3612.2      0.0000858063
 3612.3      0.0000857707
 3612.4      0.0000858089
 3612.5      0.0000859581
 3612.6      0.0000849632
 3612.7      0.0000840814
 3612.8      0.0000839265
 3612.9      0.0000851155
 3613.0      0.0000882723
 3613.1      0.0000970743
 3613.2      0.0001078146
 3613.3      0.0001185067
 3613.4      0.0001270656
 3613.5      0.0001314941
 3613.6      0.0001270680
 3613.7      0.0001185114
 3613.8      0.0001078218
 3613.9      0.0000970839
 3614.0      0.0000882844
 3614.1      0.0000851301
 3614.2      0.0000839437
 3614.3      0.0000841011
 3614.4      0.0000849855
 3614.5      0.0000859829
 3614.6      0.0000858363
 3614.7      0.0000858006
 3614.8      0.0000858386
 3614.9      0.0000859135
 3615.0      0.0000859886
 3615.1      0.0000859898
 3615.2      0.0000859911
 3615.3      0.0000859924
 3615.4      0.0000859937
 3615.5      0.0000859950
 3615.6      0.0000859961
 3615.7      0.0000859973
 3615.8      0.0000859984
 3615.9      0.0000859995
 3616.0      0.0000860007
 3616.1      0.0000860019
 3616.2      0.0000860032
 3616.3      0.0000860044
 3616.4      0.0000860057
 3616.5      0.0000860070
 3616.6      0.0000860083
 3616.7      0.0000860096
 3616.8      0.0000860109
 3616.9      0.0000860122
 3617.0      0.0000860134
