# QSO spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0001129230
 3600.1      0.0001129090
 3600.2      0.0001128995
 3600.3      0.0001128944
 3600.4      0.0001128934
 3600.5      0.0001128962
 3600.6      0.0001129028
 3600.7      0.0001129129
 3600.8      0.0001129263
 3600.9      0.0001129427
 3601.0      0.0001129621
 3601.1      0.0001129841
 3601.2      0.0001130085
 3601.3      0.0001130353
 3601.4      0.0001130641
 3601.5      0.0001130948
 3601.6      0.0001131271
 3601.7      0.0001131608
 3601.8      0.0001131958
 3601.9      0.0001132318
 3602.0      0.0001132686
 3602.1      0.0001133061
 3602.2      0.0001133439
 3602.3      0.0001133820
 3602.4      0.0001134200
 3602.5      0.0001134579
 3602.6      0.0001134941
 3602.7      0.0001135316
 3602.8      0.0001135705
 3602.9      0.0001136103
 3603.0      0.0001136511
 3603.1      0.0001136924
 3603.2      0.0001137341
 3603.3      0.0001137761
 3603.4      0.0001138180
 3603.5      0.0001138597
 3603.6      0.0001139010
 3603.7      0.0001139415
 3603.8      0.0001139813
 3603.9      0.0001140199
 3604.0      0.0001140573
 3604.1      0.0001140933
 3604.2      0.0001141274
 3604.3      0.0001141597
 3604.4      0.0001141898
 3604.5      0.0001142176
 3604.6      0.0001142429
 3604.7      0.0001142654
 3604.8      0.0001142849
 3604.9      0.0001143012
 3605.0      0.0001143142
 3605.1      0.0001143096
 3605.2      0.0001143010
 3605.3      0.0001142887
 3605.4      0.0001142731
 3605.5      0.0001142546
 3605.6      0.0001142335
 3605.7      0.0001142103
 3605.8      0.0001141852
 3605.9      0.0001141588
 3606.0      0.0001141312
 3606.1      0.0001141029
 3606.2      0.0001140744
 3606.3      0.0001140459
 3606.4      0.0001140178
 3606.5      0.0001139905
 3606.6      0.0001139643
 3606.7      0.0001139398
 3606.8      0.0001139171
 3606.9      0.0001138967
 3607.0      0.0001138789
 3607.1      0.0001138641
 3607.2      0.0001138528
 3607.3      0.0001138452
 3607.4      0.0001138417
 3607.5      0.0001138428
 3607.6      0.0001138790
 3607.7      0.0001139208
 3607.8      0.0001139676
 3607.9      0.0001140186
 3608.0      0.0001140734
 3608.1      0.0001141313
 3608.2      0.0001141913
 3608.3      0.0001142533
 3608.4      0.0001143161
 3608.5      0.0001143796
 3608.6      0.0001144429
 3608.7      0.0001145051
 3608.8      0.0001145660
 3608.9      0.0001146246
 3609.0      0.0001146806
 3609.1      0.0001147331
 3609.2      0.0001147814
 3609.3      0.0001148251
 3609.4      0.0001148633
 3609.5      0.0001148956
 3609.6      0.0001149212
 3609.7      0.0001149395
