# S0 spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000423778
 3600.1      0.0000423787
 3600.2      0.0000423779
 3600.3      0.0000423752
 3600.4      0.0000423710
 3600.5      0.0000423650
 3600.6      0.0000423575
 3600.7      0.0000423485
 3600.8      0.0000423380
 3600.9      0.0000423261
 3601.0      0.0000423129
 3601.1      0.0000422983
 3601.2      0.0000422826
 3601.3      0.0000422656
 3601.4      0.0000422475
 3601.5      0.0000422283
 3601.6      0.0000422081
 3601.7      0.0000421869
 3601.8      0.0000421648
 3601.9      0.0000421419
 3602.0      0.0000421182
 3602.1      0.0000420937
 3602.2      0.0000420685
 3602.3      0.0000420427
 3602.4      0.0000420163
 3602.5      0.0000419894
 3602.6      0.0000419620
 3602.7      0.0000419342
 3602.8      0.0000419060
 3602.9      0.0000418776
 3603.0      0.0000418489
 3603.1      0.0000418199
 3603.2      0.0000417909
 3603.3      0.0000417618
 3603.4      0.0000417326
 3603.5      0.0000417035
 3603.6      0.0000416744
 3603.7      0.0000416455
 3603.8      0.0000416168
 3603.9      0.0000415883
 3604.0      0.0000415601
 3604.1      0.0000415323
 3604.2      0.0000415049
 3604.3      0.0000414780
 3604.4      0.0000414516
 3604.5      0.0000414257
 3604.6      0.0000414005
 3604.7      0.0000413760
 3604.8      0.0000413522
 3604.9      0.0000413293
 3605.0      0.0000413071
 3605.1      0.0000412754
 3605.2      0.0000412432
 3605.3      0.0000412105
 3605.4      0.0000411776
 3605.5      0.0000411444
 3605.6      0.0000411111
 3605.7      0.0000410778
 3605.8      0.0000410445
 3605.9      0.0000410115
 3606.0      0.0000409787
 3606.1      0.0000409462
 3606.2      0.0000409142
 3606.3      0.0000408827
 3606.4      0.0000408519
 3606.5      0.0000408218
 3606.6      0.0000407926
 3606.7      0.0000407643
 3606.8      0.0000407370
 3606.9      0.0000407109
 3607.0      0.0000406859
 3607.1      0.0000406623
 3607.2      0.0000406401
 3607.3      0.0000406194
 3607.4      0.0000406003
 3607.5      0.0000405829
 3607.6      0.0000405673
 3607.7      0.0000405536
 3607.8      0.0000405419
 3607.9      0.0000405323
 3608.0      0.0000405248
 3608.1      0.0000405196
 3608.2      0.0000405168
 3608.3      0.0000405165
 3608.4      0.0000405187
 3608.5      0.0000405236
 3608.6      0.0000405312
 3608.7      0.0000405417
 3608.8      0.0000405551
 3608.9      0.0000405716
 3609.0      0.0000405912
 3609.1      0.0000406140
 3609.2      0.0000406402
 3609.3      0.0000406698
 3609.4      0.0000407029
 3609.5      0.0000407396
 3609.6      0.0000407801
 3609.7      0.0000408243
 3609.8      0.0000408725
 3609.9      0.0000409246
 3610.0      0.0000409809
 3610.1      0.0000410446
 3610.2      0.0000411120
 3610.3      0.0000411836
 3610.4      0.0000412588
 3610.5      0.0000413380
 3610.6      0.0000414208
 3610.7      0.0000415069
 3610.8      0.0000415968
 3610.9      0.0000416899
 3611.0      0.0000417865
 3611.1      0.0000418863
 3611.2      0.0000419891
 3611.3      0.0000420951
 3611.4      0.0000422039
 3611.5      0.0000423159
 3611.6      0.0000424306
 3611.7      0.0000425478
 3611.8      0.0000426679
 3611.9      0.0000427903
 3612.0      0.0000429154
 3612.1      0.0000430430
 3612.2      0.0000431725
 3612.3      0.0000433045
 3612.4      0.0000434384
 3612.5      0.0000435746
 3612.6      0.0000437127
 3612.7      0.0000438525
 3612.8      0.0000439943
 3612.9      0.0000441375
 3613.0      0.0000442826
 3613.1      0.0000444293
 3613.2      0.0000445771
 3613.3      0.0000447266
 3613.4      0.0000448770
 3613.5      0.0000450290
 3613.6      0.0000451821
 3613.7      0.0000453358
 3613.8      0.0000454909
 3613.9      0.0000456464
 3614.0      0.0000458030
 3614.1      0.0000459604
 3614.2      0.0000461179
 3614.3      0.0000462764
 3614.4      0.0000464349
 3614.5      0.0000465941
 3614.6      0.0000467535
 3614.7      0.0000469128
 3614.8      0.0000470725
 3614.9      0.0000472319
 3615.0      0.0000473915
 3615.1      0.0000475676
 3615.2      0.0000477459
 3615.3      0.0000479270
 3615.4      0.0000481097
 3615.5      0.0000482949
 3615.6      0.0000484818
 3615.7      0.0000486698
 3615.8      0.0000488595
 3615.9      0.0000490499
 3616.0      0.0000492416
 3616.1      0.0000494340
 3616.2      0.0000496265
 3616.3      0.0000498196
 3616.4      0.0000500123
 3616.5      0.0000502054
 3616.6      0.0000503980
 3616.7      0.0000505896
 3616.8      0.0000507809
 3616.9      0.0000509708
 3617.0      0.0000511598
 3617.1      0.0000513475
 3617.2      0.0000515331
 3617.3      0.0000517172
 3617.4      0.0000518989
 3617.5      0.0000520788
 3617.6      0.0000522562
 3617.7      0.0000524304
 3617.8      0.0000526022
 3617.9      0.0000527705
 3618.0      0.0000529359
 3618.1      0.0000530977
 3618.2      0.0000532555
 3618.3      0.0000534096
 3618.4      0.0000535593
 3618.5      0.0000537049
 3618.6      0.0000538459
 3618.7      0.0000539819
 3618.8      0.0000541131
 3618.9      0.0000542389
 3619.0      0.0000543595
 3619.1      0.0000544745
 3619.2      0.0000545834
 3619.3      0.0000546865
 3619.4      0.0000547831
 3619.5      0.0000548735
 3619.6      0.0000549571
 3619.7      0.0000550337
 3619.8      0.0000551034
 3619.9      0.0000551656
 3620.0      0.0000552205
 3620.1      0.0000552581
 3620.2      0.0000552888
 3620.3      0.0000553130
 3620.4      0.0000553306
 3620.5      0.0000553417
 3620.6      0.0000553466
 3620.7      0.0000553454
 3620.8      0.0000553381
 3620.9      0.0000553250
 3621.0      0.0000553060
 3621.1      0.0000552815
 3621.2      0.0000552515
 3621.3      0.0000552160
 3621.4      0.0000551754
 3621.5      0.0000551296
 3621.6      0.0000550789
 3621.7      0.0000550234
 3621.8      0.0000549630
 3621.9      0.0000548983
 3622.0      0.0000548289
 3622.1      0.0000547552
 3622.2      0.0000546775
 3622.3      0.0000545955
 3622.4      0.0000545098
 3622.5      0.0000544201
 3622.6      0.0000543268
 3622.7      0.0000542301
 3622.8      0.0000541298
 3622.9      0.0000540264
 3623.0      0.0000539197
 3623.1      0.0000538099
 3623.2      0.0000536975
 3623.3      0.0000535821
 3623.4      0.0000534644
 3623.5      0.0000533438
 3623.6      0.0000532209
 3623.7      0.0000530961
 3623.8      0.0000529689
 3623.9      0.0000528400
 3624.0      0.0000527089
 3624.1      0.0000525761
 3624.2      0.0000524421
 3624.3      0.0000523063
 3624.4      0.0000521695
 3624.5      0.0000520312
 3624.6      0.0000518919
 3624.7      0.0000517519
 3624.8      0.0000516108
 3624.9      0.0000514694
 3625.0      0.0000513271
 3625.1      0.0000511993
 3625.2      0.0000510690
 3625.3      0.0000509357
 3625.4      0.0000508002
 3625.5      0.0000506619
 3625.6      0.0000505213
 3625.7      0.0000503789
 3625.8      0.0000502340
 3625.9      0.0000500876
 3626.0      0.0000499390
 3626.1      0.0000497886
 3626.2      0.0000496370
 3626.3      0.0000494836
 3626.4      0.0000493293
 3626.5      0.0000491733
 3626.6      0.0000490162
 3626.7      0.0000488585
 3626.8      0.0000486995
 3626.9      0.0000485401
 3627.0      0.0000483798
 3627.1      0.0000482189
 3627.2      0.0000480580
 3627.3      0.0000478965
 3627.4      0.0000477352
 3627.5      0.0000475734
 3627.6      0.0000474118
 3627.7      0.0000472507
 3627.8      0.0000470896
 3627.9      0.0000469293
 3628.0      0.0000467691
 3628.1      0.0000466097
 3628.2      0.0000464514
 3628.3      0.0000462937
 3628.4      0.0000461374
 3628.5      0.0000459819
 3628.6      0.0000458276
 3628.7      0.0000456751
 3628.8      0.0000455238
 3628.9      0.0000453745
 3629.0      0.0000452265
 3629.1      0.0000450805
 3629.2      0.0000449368
 3629.3      0.0000447948
 3629.4      0.0000446555
 3629.5      0.0000445181
 3629.6      0.0000443832
 3629.7      0.0000442513
 3629.8      0.0000441217
 3629.9      0.0000439953
 3630.0      0.0000438715
 3630.1      0.0000437546
 3630.2      0.0000436399
 3630.3      0.0000435269
 3630.4      0.0000434159
 3630.5      0.0000433066
 3630.6      0.0000431991
 3630.7      0.0000430938
 3630.8      0.0000429902
 3630.9      0.0000428886
 3631.0      0.0000427887
 3631.1      0.0000426906
 3631.2      0.0000425947
 3631.3      0.0000425004
 3631.4      0.0000424082
 3631.5      0.0000423177
 3631.6      0.0000422290
 3631.7      0.0000421424
 3631.8      0.0000420575
 3631.9      0.0000419746
 3632.0      0.0000418934
 3632.1      0.0000418141
 3632.2      0.0000417369
 3632.3      0.0000416613
 3632.4      0.0000415877
 3632.5      0.0000415159
 3632.6      0.0000414459
 3632.7      0.0000413779
 3632.8      0.0000413116
 3632.9      0.0000412474
 3633.0      0.0000411848
 3633.1      0.0000411241
 3633.2      0.0000410654
 3633.3      0.0000410084
 3633.4      0.0000409534
 3633.5      0.0000409002
 3633.6      0.0000408487
 3633.7      0.0000407993
 3633.8      0.0000407516
 3633.9      0.0000407058
 3634.0      0.0000406618
 3634.1      0.0000406196
 3634.2      0.0000405794
 3634.3      0.0000405409
 3634.4      0.0000405044
 3634.5      0.0000404696
 3634.6      0.0000404367
 3634.7      0.0000404057
 3634.8      0.0000403764
 3634.9      0.0000403491
 3635.0      0.0000403235
 3635.1      0.0000402921
 3635.2      0.0000402630
 3635.3      0.0000402361
 3635.4      0.0000402114
 3635.5      0.0000401888
 3635.6      0.0000401682
 3635.7      0.0000401498
 3635.8      0.0000401332
 3635.9      0.0000401187
 3636.0      0.0000401060
 3636.1      0.0000400952
 3636.2      0.0000400861
 3636.3      0.0000400788
 3636.4      0.0000400733
 3636.5      0.0000400694
 3636.6      0.0000400671
 3636.7      0.0000400664
 3636.8      0.0000400672
 3636.9      0.0000400695
 3637.0      0.0000400732
 3637.1      0.0000400783
 3637.2      0.0000400847
 3637.3      0.0000400925
 3637.4      0.0000401015
 3637.5      0.0000401117
 3637.6      0.0000401230
 3637.7      0.0000401355
 3637.8      0.0000401490
 3637.9      0.0000401636
 3638.0      0.0000401791
 3638.1      0.0000401956
 3638.2      0.0000402129
 3638.3      0.0000402310
 3638.4      0.0000402500
 3638.5      0.0000402697
 3638.6      0.0000402901
 3638.7      0.0000403111
 3638.8      0.0000403328
 3638.9      0.0000403550
 3639.0      0.0000403777
 3639.1      0.0000404009
 3639.2      0.0000404245
 3639.3      0.0000404485
 3639.4      0.0000404728
 3639.5      0.0000404974
 3639.6      0.0000405223
 3639.7      0.0000405473
 3639.8      0.0000405725
 3639.9      0.0000405977
 3640.0      0.0000406231
 3640.1      0.0000406373
 3640.2      0.0000406520
 3640.3      0.0000406672
 3640.4      0.0000406828
 3640.5      0.0000406990
 3640.6      0.0000407156
 3640.7      0.0000407326
 3640.8      0.0000407502
 3640.9      0.0000407682
 3641.0      0.0000407866
 3641.1      0.0000408056
 3641.2      0.0000408250
 3641.3      0.0000408449
 3641.4      0.0000408652
 3641.5      0.0000408860
 3641.6      0.0000409073
 3641.7      0.0000409290
 3641.8      0.0000409512
 3641.9      0.0000409738
 3642.0      0.0000409969
 3642.1      0.0000410205
 3642.2      0.0000410445
 3642.3      0.0000410690
 3642.4      0.0000410939
 3642.5      0.0000411193
 3642.6      0.0000411451
 3642.7      0.0000411713
 3642.8      0.0000411981
 3642.9      0.0000412252
 3643.0      0.0000412528
 3643.1      0.0000412809
 3643.2      0.0000413094
 3643.3      0.0000413383
 3643.4      0.0000413677
 3643.5      0.0000413975
 3643.6      0.0000414278
 3643.7      0.0000414584
 3643.8      0.0000414896
 3643.9      0.0000415211
 3644.0      0.0000415531
 3644.1      0.0000415856
 3644.2      0.0000416184
 3644.3      0.0000416518
 3644.4      0.0000416854
 3644.5      0.0000417196
 3644.6      0.0000417542
 3644.7      0.0000417892
 3644.8      0.0000418246
 3644.9      0.0000418604
 3645.0      0.0000418967
 3645.1      0.0000419230
 3645.2      0.0000419493
 3645.3      0.0000419757
 3645.4      0.0000420022
 3645.5      0.0000420290
 3645.6      0.0000420561
 3645.7      0.0000420833
 3645.8      0.0000421110
 3645.9      0.0000421389
 3646.0      0.0000421673
 3646.1      0.0000421961
 3646.2      0.0000422253
 3646.3      0.0000422551
 3646.4      0.0000422854
 3646.5      0.0000423164
 3646.6      0.0000423479
