# Sa spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000474549
 3600.1      0.0000474556
 3600.2      0.0000474553
 3600.3      0.0000474542
 3600.4      0.0000474522
 3600.5      0.0000474493
 3600.6      0.0000474457
 3600.7      0.0000474413
 3600.8      0.0000474362
 3600.9      0.0000474304
 3601.0      0.0000474240
 3601.1      0.0000474170
 3601.2      0.0000474095
 3601.3      0.0000474014
 3601.4      0.0000473929
 3601.5      0.0000473839
 3601.6      0.0000473745
 3601.7      0.0000473648
 3601.8      0.0000473547
 3601.9      0.0000473444
 3602.0      0.0000473339
 3602.1      0.0000473231
 3602.2      0.0000473123
 3602.3      0.0000473013
 3602.4      0.0000472902
 3602.5      0.0000472791
 3602.6      0.0000472680
 3602.7      0.0000472569
 3602.8      0.0000472459
 3602.9      0.0000472351
 3603.0      0.0000472244
 3603.1      0.0000472139
 3603.2      0.0000472037
 3603.3      0.0000471937
 3603.4      0.0000471841
 3603.5      0.0000471748
 3603.6      0.0000471659
 3603.7      0.0000471575
 3603.8      0.0000471496
 3603.9      0.0000471422
 3604.0      0.0000471353
 3604.1      0.0000471291
 3604.2      0.0000471235
 3604.3      0.0000471186
 3604.4      0.0000471144
 3604.5      0.0000471110
 3604.6      0.0000471083
 3604.7      0.0000471065
 3604.8      0.0000471056
 3604.9      0.0000471057
 3605.0      0.0000471066
 3605.1      0.0000471114
 3605.2      0.0000471168
 3605.3      0.0000471228
 3605.4      0.0000471296
 3605.5      0.0000471369
 3605.6      0.0000471450
 3605.7      0.0000471536
 3605.8      0.0000471629
 3605.9      0.0000471728
 3606.0      0.0000471833
 3606.1      0.0000471944
 3606.2      0.0000472061
 3606.3      0.0000472184
 3606.4      0.0000472313
 3606.5      0.0000472447
 3606.6      0.0000472588
 3606.7      0.0000472733
 3606.8      0.0000472885
 3606.9      0.0000473041
 3607.0      0.0000473203
 3607.1      0.0000473370
 3607.2      0.0000473543
 3607.3      0.0000473720
 3607.4      0.0000473902
 3607.5      0.0000474090
 3607.6      0.0000474283
 3607.7      0.0000474479
 3607.8      0.0000474681
 3607.9      0.0000474887
 3608.0      0.0000475099
 3608.1      0.0000475314
 3608.2      0.0000475534
 3608.3      0.0000475758
 3608.4      0.0000475986
 3608.5      0.0000476219
 3608.6      0.0000476456
 3608.7      0.0000476697
 3608.8      0.0000476941
 3608.9      0.0000477190
 3609.0      0.0000477442
 3609.1      0.0000477698
 3609.2      0.0000477957
 3609.3      0.0000478221
 3609.4      0.0000478487
 3609.5      0.0000478757
 3609.6      0.0000479031
 3609.7      0.0000479307
 3609.8      0.0000479587
 3609.9      0.0000479869
 3610.0      0.0000480155
 3610.1      0.0000480350
 3610.2      0.0000480545
 3610.3      0.0000480742
 3610.4      0.0000480940
 3610.5      0.0000481140
 3610.6      0.0000481342
 3610.7      0.0000481547
 3610.8      0.0000481755
 3610.9      0.0000481965
 3611.0      0.0000482180
 3611.1      0.0000482398
 3611.2      0.0000482619
 3611.3      0.0000482846
 3611.4      0.0000483076
 3611.5      0.0000483312
 3611.6      0.0000483553
 3611.7      0.0000483799
 3611.8      0.0000484051
 3611.9      0.0000484309
 3612.0      0.0000484574
 3612.1      0.0000484845
 3612.2      0.0000485123
 3612.3      0.0000485409
 3612.4      0.0000485702
 3612.5      0.0000486003
 3612.6      0.0000486312
 3612.7      0.0000486629
 3612.8      0.0000486956
 3612.9      0.0000487291
 3613.0      0.0000487636
 3613.1      0.0000487990
 3613.2      0.0000488354
 3613.3      0.0000488729
 3613.4      0.0000489114
 3613.5      0.0000489510
 3613.6      0.0000489917
 3613.7      0.0000490335
 3613.8      0.0000490766
 3613.9      0.0000491208
 3614.0      0.0000491663
 3614.1      0.0000492130
 3614.2      0.0000492610
 3614.3      0.0000493104
 3614.4      0.0000493610
 3614.5      0.0000494131
 3614.6      0.0000494666
