# Sb spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000673791
 3600.1      0.0000674236
 3600.2      0.0000674593
 3600.3      0.0000674866
 3600.4      0.0000675055
 3600.5      0.0000675164
 3600.6      0.0000675194
 3600.7      0.0000675146
 3600.8      0.0000675023
 3600.9      0.0000674827
 3601.0      0.0000674559
 3601.1      0.0000674222
 3601.2      0.0000673818
 3601.3      0.0000673347
 3601.4      0.0000672814
 3601.5      0.0000672218
 3601.6      0.0000671563
 3601.7      0.0000670851
 3601.8      0.0000670081
 3601.9      0.0000669260
 3602.0      0.0000668384
 3602.1      0.0000667459
 3602.2      0.0000666487
 3602.3      0.0000665468
 3602.4      0.0000664406
 3602.5      0.0000663300
 3602.6      0.0000662153
 3602.7      0.0000660971
 3602.8      0.0000659749
 3602.9      0.0000658496
 3603.0      0.0000657207
 3603.1      0.0000655888
 3603.2      0.0000654543
 3603.3      0.0000653168
 3603.4      0.0000651771
 3603.5      0.0000650349
 3603.6      0.0000648905
 3603.7      0.0000647446
 3603.8      0.0000645967
 3603.9      0.0000644476
 3604.0      0.0000642968
 3604.1      0.0000641449
 3604.2      0.0000639924
 3604.3      0.0000638388
 3604.4      0.0000636851
 3604.5      0.0000635306
 3604.6      0.0000633760
 3604.7      0.0000632218
 3604.8      0.0000630675
 3604.9      0.0000629140
 3605.0      0.0000627607
 3605.1      0.0000626296
 3605.2      0.0000624968
 3605.3      0.0000623616
 3605.4      0.0000622248
 3605.5      0.0000620858
 3605.6      0.0000619452
 3605.7      0.0000618034
 3605.8      0.0000616597
 3605.9      0.0000615151
 3606.0      0.0000613688
 3606.1      0.0000612215
 3606.2      0.0000610735
 3606.3      0.0000609242
 3606.4      0.0000607745
 3606.5      0.0000606238
 3606.6      0.0000604725
 3606.7      0.0000603212
 3606.8      0.0000601691
 3606.9      0.0000600172
 3607.0      0.0000598648
 3607.1      0.0000597124
 3607.2      0.0000595606
 3607.3      0.0000594085
 3607.4      0.0000592572
 3607.5      0.0000591060
 3607.6      0.0000589553
 3607.7      0.0000588057
 3607.8      0.0000586565
 3607.9      0.0000585086
 3608.0      0.0000583613
 3608.1      0.0000582152
 3608.2      0.0000580706
 3608.3      0.0000579271
 3608.4      0.0000577854
 3608.5      0.0000576449
 3608.6      0.0000575061
 3608.7      0.0000573695
 3608.8      0.0000572345
 3608.9      0.0000571018
 3609.0      0.0000569709
 3609.1      0.0000568423
 3609.2      0.0000567164
 3609.3      0.0000565926
 3609.4      0.0000564717
 3609.5      0.0000563533
 3609.6      0.0000562377
 3609.7      0.0000561253
 3609.8      0.0000560156
 3609.9      0.0000559094
 3610.0      0.0000558062
 3610.1      0.0000556963
 3610.2      0.0000555885
 3610.3      0.0000554822
 3610.4      0.0000553781
 3610.5      0.0000552756
 3610.6      0.0000551751
 3610.7      0.0000550769
 3610.8      0.0000549805
 3610.9      0.0000548865
 3611.0      0.0000547945
 3611.1      0.0000547048
 3611.2      0.0000546175
 3611.3      0.0000545325
 3611.4      0.0000544500
 3611.5      0.0000543699
 3611.6      0.0000542922
 3611.7      0.0000542174
 3611.8      0.0000541450
 3611.9      0.0000540755
 3612.0      0.0000540085
 3612.1      0.0000539444
 3612.2      0.0000538833
 3612.3      0.0000538250
 3612.4      0.0000537697
 3612.5      0.0000537174
 3612.6      0.0000536681
 3612.7      0.0000536221
 3612.8      0.0000535792
 3612.9      0.0000535396
 3613.0      0.0000535032
 3613.1      0.0000534702
 3613.2      0.0000534407
 3613.3      0.0000534146
 3613.4      0.0000533920
 3613.5      0.0000533730
 3613.6      0.0000533576
 3613.7      0.0000533459
 3613.8      0.0000533380
 3613.9      0.0000533338
 3614.0      0.0000533335
 3614.1      0.0000533371
 3614.2      0.0000533447
 3614.3      0.0000533563
 3614.4      0.0000533719
 3614.5      0.0000533917
 3614.6      0.0000534157
 3614.7      0.0000534438
 3614.8      0.0000534763
 3614.9      0.0000535131
 3615.0      0.0000535544
 3615.1      0.0000536085
 3615.2      0.0000536680
 3615.3      0.0000537330
 3615.4      0.0000538031
 3615.5      0.0000538784
 3615.6      0.0000539586
 3615.7      0.0000540432
 3615.8      0.0000541325
 3615.9      0.0000542258
 3616.0      0.0000543235
 3616.1      0.0000544250
 3616.2      0.0000545301
 3616.3      0.0000546389
 3616.4      0.0000547508
 3616.5      0.0000548661
 3616.6      0.0000549845
 3616.7      0.0000551053
 3616.8      0.0000552290
 3616.9      0.0000553548
 3617.0      0.0000554831
 3617.1      0.0000556135
 3617.2      0.0000557454
 3617.3      0.0000558793
 3617.4      0.0000560144
 3617.5      0.0000561511
 3617.6      0.0000562889
 3617.7      0.0000564272
 3617.8      0.0000565667
 3617.9      0.0000567063
 3618.0      0.0000568467
 3618.1      0.0000569872
 3618.2      0.0000571273
 3618.3      0.0000572676
 3618.4      0.0000574072
 3618.5      0.0000575466
 3618.6      0.0000576851
 3618.7      0.0000578224
 3618.8      0.0000579589
 3618.9      0.0000580938
 3619.0      0.0000582274
 3619.1      0.0000583594
 3619.2      0.0000584892
 3619.3      0.0000586172
 3619.4      0.0000587427
 3619.5      0.0000588660
 3619.6      0.0000589867
 3619.7      0.0000591042
 3619.8      0.0000592191
 3619.9      0.0000593305
 3620.0      0.0000594388
 3620.1      0.0000595120
 3620.2      0.0000595825
 3620.3      0.0000596508
 3620.4      0.0000597166
 3620.5      0.0000597803
 3620.6      0.0000598418
 3620.7      0.0000599012
 3620.8      0.0000599587
 3620.9      0.0000600142
 3621.0      0.0000600681
 3621.1      0.0000601203
 3621.2      0.0000601707
 3621.3      0.0000602198
 3621.4      0.0000602673
 3621.5      0.0000603136
 3621.6      0.0000603586
 3621.7      0.0000604024
 3621.8      0.0000604452
 3621.9      0.0000604870
 3622.0      0.0000605280
 3622.1      0.0000605682
 3622.2      0.0000606076
 3622.3      0.0000606464
 3622.4      0.0000606847
 3622.5      0.0000607226
 3622.6      0.0000607602
 3622.7      0.0000607974
 3622.8      0.0000608346
 3622.9      0.0000608716
 3623.0      0.0000609088
 3623.1      0.0000609460
 3623.2      0.0000609833
 3623.3      0.0000610211
 3623.4      0.0000610591
 3623.5      0.0000610977
 3623.6      0.0000611368
 3623.7      0.0000611766
 3623.8      0.0000612171
 3623.9      0.0000612584
 3624.0      0.0000613007
 3624.1      0.0000613441
 3624.2      0.0000613884
 3624.3      0.0000614340
 3624.4      0.0000614808
 3624.5      0.0000615291
 3624.6      0.0000615789
 3624.7      0.0000616301
 3624.8      0.0000616831
 3624.9      0.0000617376
 3625.0      0.0000617942
 3625.1      0.0000618743
 3625.2      0.0000619560
 3625.3      0.0000620396
 3625.4      0.0000621247
 3625.5      0.0000622116
 3625.6      0.0000622999
 3625.7      0.0000623894
 3625.8      0.0000624803
 3625.9      0.0000625723
 3626.0      0.0000626656
 3626.1      0.0000627599
 3626.2      0.0000628549
 3626.3      0.0000629510
 3626.4      0.0000630475
 3626.5      0.0000631450
 3626.6      0.0000632430
 3626.7      0.0000633413
 3626.8      0.0000634402
 3626.9      0.0000635391
 3627.0      0.0000636385
 3627.1      0.0000637380
 3627.2      0.0000638373
 3627.3      0.0000639367
 3627.4      0.0000640358
 3627.5      0.0000641348
 3627.6      0.0000642335
 3627.7      0.0000643315
 3627.8      0.0000644293
 3627.9      0.0000645262
 3628.0      0.0000646226
 3628.1      0.0000647183
 3628.2      0.0000648128
 3628.3      0.0000649066
 3628.4      0.0000649992
 3628.5      0.0000650908
 3628.6      0.0000651811
 3628.7      0.0000652699
 3628.8      0.0000653575
 3628.9      0.0000654434
 3629.0      0.0000655278
 3629.1      0.0000656106
 3629.2      0.0000656914
 3629.3      0.0000657706
 3629.4      0.0000658475
 3629.5      0.0000659226
 3629.6      0.0000659956
 3629.7      0.0000660662
 3629.8      0.0000661346
 3629.9      0.0000662004
 3630.0      0.0000662639
 3630.1      0.0000663173
 3630.2      0.0000663686
 3630.3      0.0000664181
 3630.4      0.0000664654
 3630.5      0.0000665109
 3630.6      0.0000665545
 3630.7      0.0000665961
 3630.8      0.0000666360
 3630.9      0.0000666741
 3631.0      0.0000667105
 3631.1      0.0000667452
 3631.2      0.0000667782
 3631.3      0.0000668097
 3631.4      0.0000668395
 3631.5      0.0000668679
 3631.6      0.0000668947
 3631.7      0.0000669201
 3631.8      0.0000669441
 3631.9      0.0000669667
 3632.0      0.0000669880
 3632.1      0.0000670080
 3632.2      0.0000670267
 3632.3      0.0000670443
 3632.4      0.0000670606
 3632.5      0.0000670759
 3632.6      0.0000670901
 3632.7      0.0000671032
 3632.8      0.0000671153
 3632.9      0.0000671264
 3633.0      0.0000671366
 3633.1      0.0000671460
 3633.2      0.0000671545
 3633.3      0.0000671621
 3633.4      0.0000671691
 3633.5      0.0000671753
 3633.6      0.0000671808
 3633.7      0.0000671856
 3633.8      0.0000671899
 3633.9      0.0000671936
 3634.0      0.0000671968
 3634.1      0.0000671995
 3634.2      0.0000672018
 3634.3      0.0000672037
 3634.4      0.0000672052
 3634.5      0.0000672063
 3634.6      0.0000672073
 3634.7      0.0000672079
 3634.8      0.0000672084
 3634.9      0.0000672087
 3635.0      0.0000672089
 3635.1      0.0000672376
 3635.2      0.0000672667
 3635.3      0.0000672962
 3635.4      0.0000673258
 3635.5      0.0000673558
 3635.6      0.0000673857
 3635.7      0.0000674155
 3635.8      0.0000674452
 3635.9      0.0000674746
 3636.0      0.0000675037
 3636.1      0.0000675323
 3636.2      0.0000675602
 3636.3      0.0000675876
 3636.4      0.0000676140
 3636.5      0.0000676396
 3636.6      0.0000676642
 3636.7      0.0000676877
 3636.8      0.0000677100
 3636.9      0.0000677309
 3637.0      0.0000677504
 3637.1      0.0000677684
 3637.2      0.0000677847
 3637.3      0.0000677993
 3637.4      0.0000678121
 3637.5      0.0000678229
 3637.6      0.0000678317
 3637.7      0.0000678382
 3637.8      0.0000678426
 3637.9      0.0000678445
 3638.0      0.0000678440
 3638.1      0.0000678409
 3638.2      0.0000678351
 3638.3      0.0000678265
 3638.4      0.0000678151
 3638.5      0.0000678006
 3638.6      0.0000677830
 3638.7      0.0000677622
 3638.8      0.0000677380
 3638.9      0.0000677105
 3639.0      0.0000676795
 3639.1      0.0000676447
 3639.2      0.0000676064
 3639.3      0.0000675640
 3639.4      0.0000675179
 3639.5      0.0000674676
 3639.6      0.0000674131
 3639.7      0.0000673545
 3639.8      0.0000672914
 3639.9      0.0000672239
 3640.0      0.0000671518
 3640.1      0.0000670554
 3640.2      0.0000669539
 3640.3      0.0000668470
 3640.4      0.0000667355
 3640.5      0.0000666188
 3640.6      0.0000664976
 3640.7      0.0000663722
 3640.8      0.0000662424
 3640.9      0.0000661089
 3641.0      0.0000659712
 3641.1      0.0000658298
 3641.2      0.0000656854
 3641.3      0.0000655374
 3641.4      0.0000653867
 3641.5      0.0000652327
 3641.6      0.0000650761
 3641.7      0.0000649174
 3641.8      0.0000647560
 3641.9      0.0000645928
 3642.0      0.0000644274
 3642.1      0.0000642603
 3642.2      0.0000640920
 3642.3      0.0000639220
 3642.4      0.0000637512
 3642.5      0.0000635791
 3642.6      0.0000634062
 3642.7      0.0000632332
 3642.8      0.0000630593
 3642.9      0.0000628857
 3643.0      0.0000627117
 3643.1      0.0000625379
 3643.2      0.0000623648
 3643.3      0.0000621920
 3643.4      0.0000620203
 3643.5      0.0000618491
 3643.6      0.0000616791
 3643.7      0.0000615109
 3643.8      0.0000613437
 3643.9      0.0000611787
 3644.0      0.0000610153
 3644.1      0.0000608539
 3644.2      0.0000606952
 3644.3      0.0000605386
 3644.4      0.0000603850
 3644.5      0.0000602340
 3644.6      0.0000600860
 3644.7      0.0000599416
 3644.8      0.0000598004
 3644.9      0.0000596631
 3645.0      0.0000595292
 3645.1      0.0000593988
 3645.2      0.0000592701
 3645.3      0.0000591426
 3645.4      0.0000590169
 3645.5      0.0000588925
 3645.6      0.0000587698
 3645.7      0.0000586491
 3645.8      0.0000585301
 3645.9      0.0000584132
 3646.0      0.0000582981
 3646.1      0.0000581851
 3646.2      0.0000580746
 3646.3      0.0000579661
 3646.4      0.0000578602
 3646.5      0.0000577564
 3646.6      0.0000576552
 3646.7      0.0000575568
 3646.8      0.0000574608
 3646.9      0.0000573678
 3647.0      0.0000572775
 3647.1      0.0000571900
 3647.2      0.0000571058
 3647.3      0.0000570244
 3647.4      0.0000569464
 3647.5      0.0000568714
 3647.6      0.0000567998
 3647.7      0.0000567318
 3647.8      0.0000566670
 3647.9      0.0000566060
 3648.0      0.0000565485
 3648.1      0.0000564947
 3648.2      0.0000564449
 3648.3      0.0000563988
 3648.4      0.0000563569
 3648.5      0.0000563188
 3648.6      0.0000562849
 3648.7      0.0000562554
 3648.8      0.0000562300
 3648.9      0.0000562091
 3649.0      0.0000561926
 3649.1      0.0000561806
 3649.2      0.0000561733
 3649.3      0.0000561706
 3649.4      0.0000561728
 3649.5      0.0000561798
 3649.6      0.0000561918
 3649.7      0.0000562088
 3649.8      0.0000562310
 3649.9      0.0000562582
 3650.0      0.0000562909
 3650.1      0.0000563270
 3650.2      0.0000563687
 3650.3      0.0000564162
 3650.4      0.0000564690
 3650.5      0.0000565273
 3650.6      0.0000565908
 3650.7      0.0000566593
 3650.8      0.0000567328
 3650.9      0.0000568110
 3651.0      0.0000568940
 3651.1      0.0000569816
 3651.2      0.0000570734
 3651.3      0.0000571697
 3651.4      0.0000572699
 3651.5      0.0000573743
 3651.6      0.0000574826
 3651.7      0.0000575944
 3651.8      0.0000577101
 3651.9      0.0000578290
 3652.0      0.0000579515
 3652.1      0.0000580772
 3652.2      0.0000582057
 3652.3      0.0000583374
 3652.4      0.0000584716
 3652.5      0.0000586089
 3652.6      0.0000587487
 3652.7      0.0000588905
 3652.8      0.0000590350
 3652.9      0.0000591812
 3653.0      0.0000593299
 3653.1      0.0000594804
 3653.2      0.0000596323
 3653.3      0.0000597861
 3653.4      0.0000599411
 3653.5      0.0000600978
 3653.6      0.0000602557
 3653.7      0.0000604143
 3653.8      0.0000605742
 3653.9      0.0000607345
 3654.0      0.0000608959
 3654.1      0.0000610579
 3654.2      0.0000612199
 3654.3      0.0000613825
 3654.4      0.0000615449
 3654.5      0.0000617077
 3654.6      0.0000618703
