# Sc spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0002231354
 3600.1      0.0002234110
 3600.2      0.0002237032
 3600.3      0.0002240127
 3600.4      0.0002243371
 3600.5      0.0002246772
 3600.6      0.0002250313
 3600.7      0.0002253978
 3600.8      0.0002257775
 3600.9      0.0002261678
 3601.0      0.0002265697
 3601.1      0.0002269816
 3601.2      0.0002274015
 3601.3      0.0002278306
 3601.4      0.0002282661
 3601.5      0.0002287092
 3601.6      0.0002291581
 3601.7      0.0002296107
 3601.8      0.0002300685
 3601.9      0.0002305284
 3602.0      0.0002309919
 3602.1      0.0002314569
 3602.2      0.0002319216
 3602.3      0.0002323873
 3602.4      0.0002328509
 3602.5      0.0002333140
 3602.6      0.0002337744
 3602.7      0.0002342304
 3602.8      0.0002346832
 3602.9      0.0002351298
 3603.0      0.0002355717
 3603.1      0.0002360068
 3603.2      0.0002364333
 3603.3      0.0002368524
 3603.4      0.0002372614
 3603.5      0.0002376613
 3603.6      0.0002380502
 3603.7      0.0002384266
 3603.8      0.0002387913
 3603.9      0.0002391418
 3604.0      0.0002394789
 3604.1      0.0002398010
 3604.2      0.0002401065
 3604.3      0.0002403960
 3604.4      0.0002406673
 3604.5      0.0002409209
 3604.6      0.0002411553
 3604.7      0.0002413692
 3604.8      0.0002415627
 3604.9      0.0002417341
 3605.0      0.0002418834
 3605.1      0.0002419474
 3605.2      0.0002419935
 3605.3      0.0002420222
 3605.4      0.0002420336
 3605.5      0.0002420282
 3605.6      0.0002420061
 3605.7      0.0002419679
 3605.8      0.0002419136
 3605.9      0.0002418439
 3606.0      0.0002417586
 3606.1      0.0002416582
 3606.2      0.0002415434
 3606.3      0.0002414139
 3606.4      0.0002412707
 3606.5      0.0002411133
 3606.6      0.0002409424
 3606.7      0.0002407587
 3606.8      0.0002405618
 3606.9      0.0002403528
 3607.0      0.0002401310
 3607.1      0.0002398972
 3607.2      0.0002396525
 3607.3      0.0002393958
 3607.4      0.0002391287
 3607.5      0.0002388503
 3607.6      0.0002385615
 3607.7      0.0002382633
 3607.8      0.0002379546
 3607.9      0.0002376372
 3608.0      0.0002373099
 3608.1      0.0002369738
 3608.2      0.0002366299
 3608.3      0.0002362769
 3608.4      0.0002359170
 3608.5      0.0002355485
 3608.6      0.0002351727
 3608.7      0.0002347909
 3608.8      0.0002344014
 3608.9      0.0002340066
 3609.0      0.0002336047
 3609.1      0.0002331970
 3609.2      0.0002327849
 3609.3      0.0002323667
 3609.4      0.0002319447
 3609.5      0.0002315171
 3609.6      0.0002310854
 3609.7      0.0002306507
 3609.8      0.0002302115
 3609.9      0.0002297700
 3610.0      0.0002293245
 3610.1      0.0002287089
 3610.2      0.0002280752
 3610.3      0.0002274219
 3610.4      0.0002267536
 3610.5      0.0002260686
 3610.6      0.0002253701
 3610.7      0.0002246614
 3610.8      0.0002239405
 3610.9      0.0002232126
 3611.0      0.0002224757
 3611.1      0.0002217329
 3611.2      0.0002209878
 3611.3      0.0002202382
 3611.4      0.0002194893
