# Sy2 spectrum, area normalized to unity (12/Nov/2013, CEM).
#  Lambda (AA)   f(lambda)
 3600.0      0.0000685499
 3600.1      0.0000685413
 3600.2      0.0000685287
 3600.3      0.0000685122
 3600.4      0.0000684920
 3600.5      0.0000684683
 3600.6      0.0000684411
 3600.7      0.0000684107
 3600.8      0.0000683770
 3600.9      0.0000683404
 3601.0      0.0000683009
 3601.1      0.0000682587
 3601.2      0.0000682139
 3601.3      0.0000681666
 3601.4      0.0000681171
 3601.5      0.0000680653
 3601.6      0.0000680114
 3601.7      0.0000679558
 3601.8      0.0000678983
 3601.9      0.0000678394
 3602.0      0.0000677788
 3602.1      0.0000677168
 3602.2      0.0000676538
 3602.3      0.0000675896
 3602.4      0.0000675247
 3602.5      0.0000674588
 3602.6      0.0000673922
 3602.7      0.0000673253
 3602.8      0.0000672579
 3602.9      0.0000671904
 3603.0      0.0000671227
 3603.1      0.0000670551
 3603.2      0.0000669877
 3603.3      0.0000669206
 3603.4      0.0000668541
 3603.5      0.0000667880
 3603.6      0.0000667227
 3603.7      0.0000666585
 3603.8      0.0000665951
 3603.9      0.0000665330
 3604.0      0.0000664721
 3604.1      0.0000664126
 3604.2      0.0000663549
 3604.3      0.0000662988
 3604.4      0.0000662446
 3604.5      0.0000661923
 3604.6      0.0000661422
 3604.7      0.0000660945
 3604.8      0.0000660491
 3604.9      0.0000660063
 3605.0      0.0000659662
 3605.1      0.0000659465
 3605.2      0.0000659288
 3605.3      0.0000659127
 3605.4      0.0000658985
 3605.5      0.0000658859
 3605.6      0.0000658750
 3605.7      0.0000658657
 3605.8      0.0000658579
 3605.9      0.0000658517
 3606.0      0.0000658470
 3606.1      0.0000658438
 3606.2      0.0000658419
 3606.3      0.0000658414
 3606.4      0.0000658422
 3606.5      0.0000658443
 3606.6      0.0000658477
 3606.7      0.0000658522
 3606.8      0.0000658579
 3606.9      0.0000658647
 3607.0      0.0000658726
 3607.1      0.0000658815
 3607.2      0.0000658913
 3607.3      0.0000659022
 3607.4      0.0000659139
 3607.5      0.0000659265
 3607.6      0.0000659399
 3607.7      0.0000659540
 3607.8      0.0000659690
 3607.9      0.0000659845
 3608.0      0.0000660008
 3608.1      0.0000660177
 3608.2      0.0000660351
 3608.3      0.0000660530
 3608.4      0.0000660714
 3608.5      0.0000660903
 3608.6      0.0000661096
 3608.7      0.0000661291
 3608.8      0.0000661491
 3608.9      0.0000661693
 3609.0      0.0000661897
 3609.1      0.0000662103
 3609.2      0.0000662310
 3609.3      0.0000662519
 3609.4      0.0000662728
 3609.5      0.0000662938
 3609.6      0.0000663147
 3609.7      0.0000663355
 3609.8      0.0000663563
 3609.9      0.0000663768
 3610.0      0.0000663972
 3610.1      0.0000664122
 3610.2      0.0000664274
 3610.3      0.0000664430
 3610.4      0.0000664589
 3610.5      0.0000664751
 3610.6      0.0000664916
 3610.7      0.0000665083
 3610.8      0.0000665253
 3610.9      0.0000665424
 3611.0      0.0000665598
 3611.1      0.0000665774
 3611.2      0.0000665952
 3611.3      0.0000666131
 3611.4      0.0000666311
 3611.5      0.0000666492
 3611.6      0.0000666675
 3611.7      0.0000666858
 3611.8      0.0000667042
 3611.9      0.0000667226
 3612.0      0.0000667411
 3612.1      0.0000667595
 3612.2      0.0000667780
 3612.3      0.0000667964
 3612.4      0.0000668147
 3612.5      0.0000668331
 3612.6      0.0000668513
 3612.7      0.0000668694
 3612.8      0.0000668874
 3612.9      0.0000669052
 3613.0      0.0000669230
 3613.1      0.0000669405
 3613.2      0.0000669578
 3613.3      0.0000669750
 3613.4      0.0000669919
 3613.5      0.0000670085
 3613.6      0.0000670250
 3613.7      0.0000670411
 3613.8      0.0000670569
 3613.9      0.0000670724
 3614.0      0.0000670876
 3614.1      0.0000671024
 3614.2      0.0000671168
 3614.3      0.0000671309
 3614.4      0.0000671445
 3614.5      0.0000671577
 3614.6      0.0000671705
 3614.7      0.0000671828
 3614.8      0.0000671947
 3614.9      0.0000672060
 3615.0      0.0000672169
 3615.1      0.0000672281
 3615.2      0.0000672390
 3615.3      0.0000672496
 3615.4      0.0000672598
 3615.5      0.0000672698
 3615.6      0.0000672795
 3615.7      0.0000672887
 3615.8      0.0000672977
 3615.9      0.0000673063
 3616.0      0.0000673146
 3616.1      0.0000673225
 3616.2      0.0000673301
 3616.3      0.0000673373
 3616.4      0.0000673441
 3616.5      0.0000673505
 3616.6      0.0000673566
 3616.7      0.0000673623
 3616.8      0.0000673676
 3616.9      0.0000673725
 3617.0      0.0000673770
 3617.1      0.0000673811
 3617.2      0.0000673848
 3617.3      0.0000673881
 3617.4      0.0000673910
 3617.5      0.0000673934
 3617.6      0.0000673954
 3617.7      0.0000673970
 3617.8      0.0000673981
 3617.9      0.0000673988
 3618.0      0.0000673990
 3618.1      0.0000673988
 3618.2      0.0000673981
 3618.3      0.0000673970
 3618.4      0.0000673954
 3618.5      0.0000673933
 3618.6      0.0000673907
 3618.7      0.0000673876
 3618.8      0.0000673841
 3618.9      0.0000673800
 3619.0      0.0000673755
 3619.1      0.0000673704
 3619.2      0.0000673649
 3619.3      0.0000673588
 3619.4      0.0000673521
 3619.5      0.0000673450
 3619.6      0.0000673373
 3619.7      0.0000673291
 3619.8      0.0000673204
 3619.9      0.0000673111
 3620.0      0.0000673012
 3620.1      0.0000672856
 3620.2      0.0000672690
 3620.3      0.0000672515
 3620.4      0.0000672332
 3620.5      0.0000672141
 3620.6      0.0000671942
 3620.7      0.0000671736
 3620.8      0.0000671523
 3620.9      0.0000671305
 3621.0      0.0000671080
 3621.1      0.0000670851
 3621.2      0.0000670617
 3621.3      0.0000670379
 3621.4      0.0000670138
 3621.5      0.0000669893
 3621.6      0.0000669646
 3621.7      0.0000669397
